"S22 POLAR"
"Frequency (Hz)","U","U",
2306000000, 1.087692e-001, -3.418700e-001, 
2306025000, 1.087886e-001, -3.419451e-001, 
2306050000, 1.087969e-001, -3.417070e-001, 
2306075000, 1.086663e-001, -3.415409e-001, 
2306100000, 1.090868e-001, -3.415608e-001, 
2306125000, 1.090247e-001, -3.419833e-001, 
2306150000, 1.087060e-001, -3.419148e-001, 
2306175000, 1.086179e-001, -3.417017e-001, 
2306200000, 1.086854e-001, -3.416817e-001, 
2306225000, 1.087696e-001, -3.417921e-001, 
2306250000, 1.088712e-001, -3.415529e-001, 
2306275000, 1.090650e-001, -3.416349e-001, 
2306300000, 1.090603e-001, -3.418565e-001, 
2306325000, 1.088237e-001, -3.419089e-001, 
2306350000, 1.086387e-001, -3.418452e-001, 
2306375000, 1.086883e-001, -3.417543e-001, 
2306400000, 1.088028e-001, -3.417104e-001, 
2306425000, 1.088127e-001, -3.417049e-001, 
2306450000, 1.088806e-001, -3.418501e-001, 
2306475000, 1.087638e-001, -3.418338e-001, 
2306500000, 1.087211e-001, -3.417981e-001, 
2306525000, 1.086219e-001, -3.418577e-001, 
2306550000, 1.086557e-001, -3.416983e-001, 
2306575000, 1.087028e-001, -3.416183e-001, 
2306600000, 1.088090e-001, -3.415820e-001, 
2306625000, 1.088277e-001, -3.418077e-001, 
2306650000, 1.089007e-001, -3.418647e-001, 
2306675000, 1.084889e-001, -3.418728e-001, 
2306700000, 1.085071e-001, -3.416650e-001, 
2306725000, 1.086043e-001, -3.414457e-001, 
2306750000, 1.087590e-001, -3.415350e-001, 
2306775000, 1.087660e-001, -3.416092e-001, 
2306800000, 1.086923e-001, -3.418121e-001, 
2306825000, 1.085414e-001, -3.416615e-001, 
2306850000, 1.083474e-001, -3.416042e-001, 
2306875000, 1.085177e-001, -3.415419e-001, 
2306900000, 1.085727e-001, -3.414946e-001, 
2306925000, 1.086457e-001, -3.415245e-001, 
2306950000, 1.085781e-001, -3.415138e-001, 
2306975000, 1.086024e-001, -3.415430e-001, 
2307000000, 1.084451e-001, -3.415609e-001, 
2307025000, 1.083396e-001, -3.413764e-001, 
2307050000, 1.085121e-001, -3.413895e-001, 
2307075000, 1.085330e-001, -3.413910e-001, 
2307100000, 1.084956e-001, -3.414537e-001, 
2307125000, 1.083923e-001, -3.415871e-001, 
2307150000, 1.084136e-001, -3.415265e-001, 
2307175000, 1.082747e-001, -3.414906e-001, 
2307200000, 1.081573e-001, -3.413290e-001, 
2307225000, 1.083365e-001, -3.413202e-001, 
2307250000, 1.083539e-001, -3.411454e-001, 
2307275000, 1.084370e-001, -3.412989e-001, 
2307300000, 1.081972e-001, -3.412403e-001, 
2307325000, 1.081071e-001, -3.412287e-001, 
2307350000, 1.081924e-001, -3.410558e-001, 
2307375000, 1.082693e-001, -3.409085e-001, 
2307400000, 1.083711e-001, -3.408916e-001, 
2307425000, 1.084865e-001, -3.411674e-001, 
2307450000, 1.083343e-001, -3.411403e-001, 
2307475000, 1.083609e-001, -3.410465e-001, 
2307500000, 1.083922e-001, -3.410425e-001, 
2307525000, 1.083845e-001, -3.410076e-001, 
2307550000, 1.083758e-001, -3.408632e-001, 
2307575000, 1.083420e-001, -3.408340e-001, 
2307600000, 1.086424e-001, -3.408408e-001, 
2307625000, 1.087005e-001, -3.409443e-001, 
2307650000, 1.085716e-001, -3.410936e-001, 
2307675000, 1.087108e-001, -3.409903e-001, 
2307700000, 1.086256e-001, -3.409253e-001, 
2307725000, 1.086172e-001, -3.409828e-001, 
2307750000, 1.085431e-001, -3.409147e-001, 
2307775000, 1.085156e-001, -3.410878e-001, 
2307800000, 1.085091e-001, -3.410356e-001, 
2307825000, 1.086912e-001, -3.408692e-001, 
2307850000, 1.087891e-001, -3.408976e-001, 
2307875000, 1.088597e-001, -3.410373e-001, 
2307900000, 1.086796e-001, -3.411795e-001, 
2307925000, 1.088494e-001, -3.410048e-001, 
2307950000, 1.089515e-001, -3.409858e-001, 
2307975000, 1.090262e-001, -3.411506e-001, 
2308000000, 1.091400e-001, -3.414828e-001, 
2308025000, 1.086075e-001, -3.417878e-001, 
2308050000, 1.083950e-001, -3.414052e-001, 
2308075000, 1.084784e-001, -3.413003e-001, 
2308100000, 1.083653e-001, -3.410908e-001, 
2308125000, 1.083865e-001, -3.409070e-001, 
2308150000, 1.085321e-001, -3.407368e-001, 
2308175000, 1.087844e-001, -3.406112e-001, 
2308200000, 1.090831e-001, -3.404768e-001, 
2308225000, 1.095207e-001, -3.405767e-001, 
2308250000, 1.097140e-001, -3.409633e-001, 
2308275000, 1.098870e-001, -3.412479e-001, 
2308300000, 1.098509e-001, -3.418701e-001, 
2308325000, 1.094783e-001, -3.421981e-001, 
2308350000, 1.090305e-001, -3.422111e-001, 
2308375000, 1.088654e-001, -3.423201e-001, 
2308400000, 1.086713e-001, -3.422250e-001, 
2308425000, 1.084759e-001, -3.421040e-001, 
2308450000, 1.082684e-001, -3.420044e-001, 
2308475000, 1.082483e-001, -3.418244e-001, 
2308500000, 1.082258e-001, -3.416846e-001, 
2308525000, 1.081675e-001, -3.416673e-001, 
2308550000, 1.081641e-001, -3.416635e-001, 
2308575000, 1.081452e-001, -3.415135e-001, 
2308600000, 1.080958e-001, -3.416218e-001, 
2308625000, 1.080882e-001, -3.415946e-001, 
2308650000, 1.079445e-001, -3.414467e-001, 
2308675000, 1.079090e-001, -3.413534e-001, 
2308700000, 1.078902e-001, -3.410874e-001, 
2308725000, 1.079534e-001, -3.409275e-001, 
2308750000, 1.081449e-001, -3.406787e-001, 
