"S11 POLAR"
"Frequency (Hz)","U","U",
300000, 9.821787e-001, 1.728731e-002, 
899985, 9.744478e-001, 2.562485e-002, 
1499970, 9.932528e-001, 7.101982e-003, 
2099955, 9.882917e-001, 9.451199e-003, 
2699940, 9.965625e-001, 1.233019e-003, 
3299925, 9.960145e-001, 1.029728e-003, 
3899910, 9.953008e-001, 1.916292e-003, 
4499895, 9.960876e-001, -7.360831e-006, 
5099880, 9.963312e-001, 7.687509e-006, 
5699865, 9.961715e-001, -1.212456e-003, 
6299850, 9.963638e-001, -2.983691e-003, 
6899835, 9.963217e-001, -2.674046e-003, 
7499820, 9.965321e-001, -2.780558e-003, 
8099805, 9.963362e-001, -1.809702e-003, 
8699790, 9.963728e-001, -2.716026e-003, 
9299775, 9.962706e-001, -3.469224e-003, 
9899760, 9.960466e-001, -5.085804e-003, 
10499745, 9.983300e-001, -6.475733e-003, 
11099730, 9.989460e-001, -6.458124e-003, 
11699715, 9.991025e-001, -6.838687e-003, 
12299700, 9.991695e-001, -6.864485e-003, 
12899685, 9.990314e-001, -7.251830e-003, 
13499670, 9.987656e-001, -8.255081e-003, 
14099655, 9.977875e-001, -8.871884e-003, 
14699640, 9.980965e-001, -8.937093e-003, 
15299625, 9.987397e-001, -9.019960e-003, 
15899610, 9.988858e-001, -9.553886e-003, 
16499595, 9.991511e-001, -9.918056e-003, 
17099580, 9.994349e-001, -1.022767e-002, 
17699565, 9.990352e-001, -1.070727e-002, 
18299550, 9.984406e-001, -1.088230e-002, 
18899535, 9.984894e-001, -1.160169e-002, 
19499520, 9.989242e-001, -1.219541e-002, 
20099505, 9.992481e-001, -1.230971e-002, 
20699490, 9.991952e-001, -1.258483e-002, 
21299475, 9.988551e-001, -1.304605e-002, 
21899460, 9.994283e-001, -1.348403e-002, 
22499445, 9.992110e-001, -1.420264e-002, 
23099430, 9.986119e-001, -1.535035e-002, 
23699415, 9.989136e-001, -1.554415e-002, 
24299400, 9.992463e-001, -1.574714e-002, 
24899385, 9.988199e-001, -1.585880e-002, 
25499370, 9.987641e-001, -1.612565e-002, 
26099355, 9.990621e-001, -1.679718e-002, 
26699340, 9.992285e-001, -1.739527e-002, 
27299325, 9.994453e-001, -1.763915e-002, 
27899310, 9.996197e-001, -1.798840e-002, 
28499295, 1.000033e+000, -1.833162e-002, 
29099280, 1.000419e+000, -1.818509e-002, 
29699265, 9.997478e-001, -1.878870e-002, 
30299250, 9.992886e-001, -1.979058e-002, 
30899235, 9.988079e-001, -1.976210e-002, 
31499220, 9.994617e-001, -1.971572e-002, 
32099205, 1.000148e+000, -1.976543e-002, 
32699190, 9.987556e-001, -2.033529e-002, 
33299175, 9.982314e-001, -2.113573e-002, 
33899160, 1.000727e+000, -2.132788e-002, 
34499145, 1.000697e+000, -2.157375e-002, 
35099130, 9.990640e-001, -2.231972e-002, 
35699115, 9.990699e-001, -2.245909e-002, 
36299100, 9.995126e-001, -2.237545e-002, 
36899085, 9.994386e-001, -2.254692e-002, 
37499070, 9.993368e-001, -2.280837e-002, 
38099055, 9.993601e-001, -2.324644e-002, 
38699040, 9.999752e-001, -2.409825e-002, 
39299025, 1.000063e+000, -2.475392e-002, 
39899010, 9.991864e-001, -2.475731e-002, 
40498995, 9.982969e-001, -2.457081e-002, 
41098980, 9.985865e-001, -2.596183e-002, 
41698965, 9.983767e-001, -2.615046e-002, 
42298950, 9.984319e-001, -2.653591e-002, 
42898935, 9.999238e-001, -2.542516e-002, 
43498920, 1.000558e+000, -2.537559e-002, 
44098905, 1.000060e+000, -2.661862e-002, 
44698890, 9.998067e-001, -2.787563e-002, 
45298875, 9.995761e-001, -2.923772e-002, 
45898860, 9.996292e-001, -2.834581e-002, 
46498845, 9.994112e-001, -2.774464e-002, 
47098830, 9.987771e-001, -2.860903e-002, 
47698815, 9.993457e-001, -2.946844e-002, 
48298800, 9.999398e-001, -3.012337e-002, 
48898785, 9.997528e-001, -3.141597e-002, 
49498770, 9.993474e-001, -3.199979e-002, 
50098755, 9.988047e-001, -3.177493e-002, 
50698740, 9.987260e-001, -3.176735e-002, 
51298725, 9.987707e-001, -3.159385e-002, 
51898710, 9.997389e-001, -3.252200e-002, 
52498695, 1.000228e+000, -3.344384e-002, 
53098680, 9.998152e-001, -3.366794e-002, 
53698665, 9.991354e-001, -3.332619e-002, 
54298650, 9.989041e-001, -3.300882e-002, 
54898635, 9.988936e-001, -3.434286e-002, 
55498620, 9.993495e-001, -3.472801e-002, 
56098605, 9.998652e-001, -3.463994e-002, 
56698590, 9.991456e-001, -3.494931e-002, 
57298575, 9.986990e-001, -3.517944e-002, 
57898560, 9.997305e-001, -3.636748e-002, 
58498545, 9.999686e-001, -3.712598e-002, 
59098530, 9.998114e-001, -3.753158e-002, 
59698515, 9.995741e-001, -3.766752e-002, 
60298500, 9.993592e-001, -3.769442e-002, 
60898485, 9.983521e-001, -3.823528e-002, 
61498470, 9.990067e-001, -3.868201e-002, 
62098455, 1.000123e+000, -3.885818e-002, 
62698440, 9.997309e-001, -3.924816e-002, 
63298425, 9.992862e-001, -3.990107e-002, 
63898410, 9.994953e-001, -4.022827e-002, 
64498395, 9.994092e-001, -4.046360e-002, 
65098380, 9.986752e-001, -4.065790e-002, 
65698365, 9.991133e-001, -4.119924e-002, 
66298350, 9.996673e-001, -4.181027e-002, 
66898335, 9.998190e-001, -4.205282e-002, 
67498320, 1.000343e+000, -4.301161e-002, 
68098305, 1.000677e+000, -4.395185e-002, 
68698290, 1.000108e+000, -4.366672e-002, 
69298275, 9.994629e-001, -4.332215e-002, 
69898260, 1.000240e+000, -4.390304e-002, 
70498245, 9.999790e-001, -4.418823e-002, 
71098230, 9.991997e-001, -4.568408e-002, 
71698215, 9.991981e-001, -4.662541e-002, 
72298200, 9.993482e-001, -4.642346e-002, 
72898185, 9.995114e-001, -4.596375e-002, 
73498170, 1.000055e+000, -4.596550e-002, 
74098155, 1.000259e+000, -4.580820e-002, 
74698140, 9.996275e-001, -4.638410e-002, 
75298125, 9.993222e-001, -4.728159e-002, 
75898110, 9.997133e-001, -4.827716e-002, 
76498095, 9.992603e-001, -4.810195e-002, 
77098080, 9.980986e-001, -4.715685e-002, 
77698065, 9.985394e-001, -4.864728e-002, 
78298050, 9.996122e-001, -5.049013e-002, 
78898035, 9.997035e-001, -4.979187e-002, 
79498020, 9.997113e-001, -4.980287e-002, 
80098005, 9.999420e-001, -4.977138e-002, 
80697990, 1.000418e+000, -4.913684e-002, 
81297975, 1.000805e+000, -4.883700e-002, 
81897960, 9.999871e-001, -4.870964e-002, 
82497945, 9.997893e-001, -4.933430e-002, 
