"S11 POLAR"
"Frequency (Hz)","U","U",
300000, 1.002654e+000, 2.243293e-004, 
899985, 9.799559e-001, 1.391370e-002, 
1499970, 9.971231e-001, 1.930698e-003, 
2099955, 9.917388e-001, 6.193961e-003, 
2699940, 1.000124e+000, -1.175980e-003, 
3299925, 9.994680e-001, -7.773298e-004, 
3899910, 9.991377e-001, -1.022273e-003, 
4499895, 9.997009e-001, -8.085162e-004, 
5099880, 9.999159e-001, -5.797024e-004, 
5699865, 9.997793e-001, -1.250730e-003, 
6299850, 9.999974e-001, -2.633480e-003, 
6899835, 1.000045e+000, -2.174635e-003, 
7499820, 1.000119e+000, -1.901046e-003, 
8099805, 1.000406e+000, -2.237600e-003, 
8699790, 1.000467e+000, -2.838435e-003, 
9299775, 1.000424e+000, -3.389344e-003, 
9899760, 1.000284e+000, -4.710948e-003, 
10499745, 9.997705e-001, -3.454853e-003, 
11099730, 1.000393e+000, -3.182990e-003, 
11699715, 1.000596e+000, -3.335538e-003, 
12299700, 1.000575e+000, -3.058471e-003, 
12899685, 1.000495e+000, -3.194690e-003, 
13499670, 9.997884e-001, -3.921528e-003, 
14099655, 9.988138e-001, -4.428783e-003, 
14699640, 9.990463e-001, -4.173423e-003, 
15299625, 9.999000e-001, -4.041630e-003, 
15899610, 9.998996e-001, -4.350096e-003, 
16499595, 1.000060e+000, -4.458331e-003, 
17099580, 1.000364e+000, -4.546477e-003, 
17699565, 9.999980e-001, -4.778808e-003, 
18299550, 9.995164e-001, -4.842776e-003, 
18899535, 9.993293e-001, -5.230930e-003, 
19499520, 9.997383e-001, -5.637360e-003, 
20099505, 1.000024e+000, -5.489436e-003, 
20699490, 1.000063e+000, -5.640393e-003, 
21299475, 9.996237e-001, -5.942706e-003, 
21899460, 1.000169e+000, -6.097669e-003, 
22499445, 1.000005e+000, -6.484236e-003, 
23099430, 9.993451e-001, -7.371200e-003, 
23699415, 9.996481e-001, -7.383741e-003, 
24299400, 9.999542e-001, -7.515460e-003, 
24899385, 9.995074e-001, -7.323172e-003, 
25499370, 9.995255e-001, -7.390231e-003, 
26099355, 9.997189e-001, -7.761432e-003, 
26699340, 9.999369e-001, -8.199747e-003, 
27299325, 1.000040e+000, -8.225563e-003, 
27899310, 1.000180e+000, -8.316609e-003, 
28499295, 1.000594e+000, -8.453606e-003, 
29099280, 1.001120e+000, -8.179807e-003, 
29699265, 1.000450e+000, -8.625986e-003, 
30299250, 9.997767e-001, -9.701492e-003, 
30899235, 9.995693e-001, -9.361262e-003, 
31499220, 1.000219e+000, -9.041881e-003, 
32099205, 1.000679e+000, -8.922048e-003, 
32699190, 9.995329e-001, -9.083524e-003, 
33299175, 9.988248e-001, -9.903223e-003, 
33899160, 1.001364e+000, -9.686777e-003, 
34499145, 1.001386e+000, -9.730096e-003, 
35099130, 9.996386e-001, -1.051645e-002, 
35699115, 9.998146e-001, -1.042855e-002, 
36299100, 1.000102e+000, -9.926321e-003, 
36899085, 1.000071e+000, -9.996761e-003, 
37499070, 9.999551e-001, -1.014199e-002, 
38099055, 9.999271e-001, -1.018369e-002, 
38699040, 1.000642e+000, -1.075813e-002, 
39299025, 1.000715e+000, -1.131706e-002, 
39899010, 9.999356e-001, -1.111791e-002, 
40498995, 9.988560e-001, -1.094070e-002, 
41098980, 9.994531e-001, -1.225628e-002, 
41698965, 9.990022e-001, -1.195572e-002, 
42298950, 9.990613e-001, -1.275894e-002, 
42898935, 1.000688e+000, -1.091408e-002, 
43498920, 1.001536e+000, -1.100081e-002, 
44098905, 1.000944e+000, -1.179088e-002, 
44698890, 1.000635e+000, -1.323401e-002, 
45298875, 1.000536e+000, -1.417252e-002, 
45898860, 1.000659e+000, -1.316133e-002, 
46498845, 1.000276e+000, -1.217353e-002, 
47098830, 9.996344e-001, -1.289589e-002, 
47698815, 1.000323e+000, -1.379142e-002, 
48298800, 1.000733e+000, -1.405686e-002, 
48898785, 1.000730e+000, -1.513736e-002, 
49498770, 1.000273e+000, -1.575670e-002, 
50098755, 9.997972e-001, -1.536393e-002, 
50698740, 9.997155e-001, -1.488282e-002, 
51298725, 9.997579e-001, -1.464230e-002, 
51898710, 1.000879e+000, -1.526306e-002, 
52498695, 1.001301e+000, -1.582073e-002, 
53098680, 1.000801e+000, -1.604509e-002, 
53698665, 1.000256e+000, -1.546260e-002, 
54298650, 1.000153e+000, -1.508674e-002, 
54898635, 1.000148e+000, -1.602929e-002, 
55498620, 1.000576e+000, -1.608104e-002, 
56098605, 1.000989e+000, -1.575519e-002, 
56698590, 1.000315e+000, -1.594558e-002, 
57298575, 1.000079e+000, -1.601574e-002, 
57898560, 1.001147e+000, -1.691547e-002, 
58498545, 1.001395e+000, -1.742316e-002, 
59098530, 1.001144e+000, -1.755257e-002, 
59698515, 1.000894e+000, -1.748841e-002, 
60298500, 1.000705e+000, -1.730510e-002, 
60898485, 9.999583e-001, -1.780066e-002, 
61498470, 1.000566e+000, -1.786315e-002, 
62098455, 1.001799e+000, -1.743224e-002, 
62698440, 1.001304e+000, -1.805030e-002, 
63298425, 1.000798e+000, -1.831179e-002, 
63898410, 1.001103e+000, -1.842033e-002, 
64498395, 1.001060e+000, -1.850359e-002, 
65098380, 1.000244e+000, -1.841785e-002, 
65698365, 1.000827e+000, -1.867103e-002, 
66298350, 1.001211e+000, -1.892424e-002, 
66898335, 1.001356e+000, -1.907750e-002, 
67498320, 1.002086e+000, -1.961371e-002, 
68098305, 1.002437e+000, -2.020049e-002, 
68698290, 1.001929e+000, -2.002319e-002, 
69298275, 1.001095e+000, -1.937896e-002, 
69898260, 1.001861e+000, -1.965603e-002, 
70498245, 1.001818e+000, -1.998074e-002, 
71098230, 1.000908e+000, -2.098003e-002, 
71698215, 1.000878e+000, -2.189739e-002, 
72298200, 1.000971e+000, -2.143250e-002, 
72898185, 1.001013e+000, -2.086816e-002, 
73498170, 1.001599e+000, -2.045150e-002, 
74098155, 1.001913e+000, -2.001311e-002, 
74698140, 1.001269e+000, -2.046617e-002, 
75298125, 1.000889e+000, -2.130543e-002, 
75898110, 1.001307e+000, -2.206960e-002, 
76498095, 1.000914e+000, -2.168990e-002, 
77098080, 9.995240e-001, -2.036694e-002, 
77698065, 1.000113e+000, -2.193246e-002, 
78298050, 1.001148e+000, -2.358030e-002, 
78898035, 1.001166e+000, -2.231262e-002, 
79498020, 1.001390e+000, -2.237527e-002, 
80098005, 1.001515e+000, -2.228864e-002, 
80697990, 1.001610e+000, -2.143889e-002, 
81297975, 1.002195e+000, -2.090212e-002, 
81897960, 1.001297e+000, -2.047688e-002, 
82497945, 1.001535e+000, -2.089667e-002, 
83097930, 1.001855e+000, -2.319698e-002, 
83697915, 1.000787e+000, -2.314236e-002, 
84297900, 1.000006e+000, -2.210861e-002, 
84897885, 1.000943e+000, -2.222518e-002, 
85497870, 1.001611e+000, -2.283094e-002, 
86097855, 1.002154e+000, -2.268535e-002, 
86697840, 1.001474e+000, -2.299022e-002, 
87297825, 1.001072e+000, -2.399808e-002, 
87897810, 1.000687e+000, -2.418407e-002, 
88497795, 1.001313e+000, -2.393918e-002, 
89097780, 1.001996e+000, -2.340430e-002, 
89697765, 1.002717e+000, -2.355996e-002, 
90297750, 1.002308e+000, -2.362719e-002, 
90897735, 1.000260e+000, -2.504501e-002, 
91497720, 9.999838e-001, -2.586914e-002, 
92097705, 1.000986e+000, -2.574736e-002, 
92697690, 1.001154e+000, -2.483830e-002, 
93297675, 1.001509e+000, -2.440831e-002, 
93897660, 1.001216e+000, -2.423028e-002, 
94497645, 1.000929e+000, -2.430868e-002, 
95097630, 1.001165e+000, -2.428939e-002, 
95697615, 1.001329e+000, -2.433716e-002, 
96297600, 1.001689e+000, -2.425664e-002, 
96897585, 1.001592e+000, -2.406647e-002, 
97497570, 1.001803e+000, -2.385030e-002, 
98097555, 1.002245e+000, -2.412320e-002, 
98697540, 1.002095e+000, -2.517998e-002, 
99297525, 1.001775e+000, -2.568172e-002, 
99897510, 1.002079e+000, -2.628129e-002, 
100497495, 1.002077e+000, -2.676873e-002, 
101097480, 1.001847e+000, -2.640564e-002, 
101697465, 1.002516e+000, -2.695166e-002, 
102297450, 1.002895e+000, -2.679520e-002, 
102897435, 1.001583e+000, -2.758629e-002, 
103497420, 1.000634e+000, -2.695205e-002, 
104097405, 1.001405e+000, -2.548914e-002, 
104697390, 1.001530e+000, -2.518701e-002, 
105297375, 1.001390e+000, -2.520458e-002, 
105897360, 1.001625e+000, -2.519245e-002, 
106497345, 1.001591e+000, -2.523702e-002, 
107097330, 1.002015e+000, -2.496579e-002, 
107697315, 1.002632e+000, -2.611434e-002, 
108297300, 1.003523e+000, -2.748793e-002, 
108897285, 1.002895e+000, -2.817988e-002, 
109497270, 1.002705e+000, -2.830675e-002, 
110097255, 1.002283e+000, -2.698912e-002, 
110697240, 1.001737e+000, -2.726513e-002, 
111297225, 1.002497e+000, -2.774593e-002, 
111897210, 1.003399e+000, -2.839226e-002, 
112497195, 1.003286e+000, -2.868496e-002, 
113097180, 1.002240e+000, -2.847730e-002, 
113697165, 1.002299e+000, -2.779328e-002, 
114297150, 1.002533e+000, -2.701521e-002, 
114897135, 1.002577e+000, -2.781615e-002, 
115497120, 1.002622e+000, -2.780598e-002, 
116097105, 1.002384e+000, -2.746243e-002, 
116697090, 1.001678e+000, -2.842858e-002, 
117297075, 1.001371e+000, -2.881042e-002, 
117897060, 1.002700e+000, -2.871326e-002, 
118497045, 1.003643e+000, -2.896582e-002, 
119097030, 1.003964e+000, -2.873312e-002, 
119697015, 1.003607e+000, -2.877677e-002, 
120297000, 1.003115e+000, -2.964661e-002, 
120896985, 1.003033e+000, -2.917153e-002, 
121496970, 1.003584e+000, -2.896614e-002, 
122096955, 1.004083e+000, -2.897856e-002, 
122696940, 1.003743e+000, -2.913760e-002, 
123296925, 1.003167e+000, -2.942256e-002, 
123896910, 1.002556e+000, -2.921159e-002, 
124496895, 1.002442e+000, -2.923551e-002, 
125096880, 1.002793e+000, -2.966266e-002, 
125696865, 1.002857e+000, -3.006005e-002, 
126296850, 1.002870e+000, -3.045401e-002, 
126896835, 1.002250e+000, -3.073281e-002, 
127496820, 1.002235e+000, -3.042379e-002, 
128096805, 1.002887e+000, -2.972772e-002, 
128696790, 1.002588e+000, -2.989009e-002, 
129296775, 1.002760e+000, -3.048766e-002, 
129896760, 1.003523e+000, -3.160680e-002, 
130496745, 1.003451e+000, -3.154384e-002, 
131096730, 1.002944e+000, -3.103080e-002, 
131696715, 1.002663e+000, -3.142934e-002, 
132296700, 1.002432e+000, -3.141120e-002, 
132896685, 1.002328e+000, -3.172831e-002, 
133496670, 1.002709e+000, -3.218244e-002, 
134096655, 1.003063e+000, -3.149749e-002, 
134696640, 1.002990e+000, -3.075169e-002, 
135296625, 1.002774e+000, -3.032647e-002, 
135896610, 1.003875e+000, -3.097721e-002, 
136496595, 1.004377e+000, -3.174185e-002, 
137096580, 1.004479e+000, -3.170962e-002, 
137696565, 1.003957e+000, -3.071617e-002, 
138296550, 1.003940e+000, -3.005913e-002, 
138896535, 1.003229e+000, -3.310789e-002, 
139496520, 1.003739e+000, -3.418882e-002, 
140096505, 1.004157e+000, -3.373126e-002, 
140696490, 1.002925e+000, -3.380206e-002, 
141296475, 1.002206e+000, -3.341909e-002, 
141896460, 1.002928e+000, -3.336868e-002, 
142496445, 1.003159e+000, -3.328806e-002, 
143096430, 1.003420e+000, -3.372023e-002, 
143696415, 1.003891e+000, -3.342515e-002, 
144296400, 1.003801e+000, -3.270260e-002, 
144896385, 1.003190e+000, -3.298451e-002, 
145496370, 1.003114e+000, -3.305208e-002, 
146096355, 1.003289e+000, -3.278610e-002, 
146696340, 1.003536e+000, -3.348391e-002, 
147296325, 1.004062e+000, -3.432213e-002, 
147896310, 1.004267e+000, -3.354327e-002, 
148496295, 1.003523e+000, -3.361085e-002, 
149096280, 1.002973e+000, -3.427866e-002, 
149696265, 1.002225e+000, -3.359553e-002, 
150296250, 1.002653e+000, -3.287330e-002, 
150896235, 1.004275e+000, -3.293392e-002, 
151496220, 1.003845e+000, -3.343698e-002, 
152096205, 1.002698e+000, -3.427210e-002, 
152696190, 1.003460e+000, -3.476792e-002, 
153296175, 1.003963e+000, -3.521250e-002, 
153896160, 1.002668e+000, -3.357026e-002, 
154496145, 1.003094e+000, -3.326546e-002, 
155096130, 1.003617e+000, -3.300772e-002, 
155696115, 1.003274e+000, -3.307571e-002, 
156296100, 1.002315e+000, -3.400875e-002, 
156896085, 1.002846e+000, -3.388941e-002, 
157496070, 1.003809e+000, -3.411246e-002, 
158096055, 1.005169e+000, -3.553339e-002, 
158696040, 1.004393e+000, -3.544704e-002, 
159296025, 1.003917e+000, -3.463163e-002, 
159896010, 1.005468e+000, -3.626569e-002, 
160495995, 1.006395e+000, -3.624577e-002, 
161095980, 1.006409e+000, -3.502565e-002, 
161695965, 1.005929e+000, -3.499405e-002, 
162295950, 1.004976e+000, -3.600039e-002, 
162895935, 1.005098e+000, -3.648455e-002, 
163495920, 1.005200e+000, -3.653892e-002, 
164095905, 1.004848e+000, -3.668931e-002, 
164695890, 1.004240e+000, -3.611625e-002, 
165295875, 1.003770e+000, -3.544428e-002, 
165895860, 1.004802e+000, -3.594362e-002, 
166495845, 1.005680e+000, -3.670270e-002, 
167095830, 1.006413e+000, -3.814653e-002, 
167695815, 1.006682e+000, -3.746921e-002, 
168295800, 1.006216e+000, -3.588350e-002, 
168895785, 1.006230e+000, -3.547033e-002, 
169495770, 1.005841e+000, -3.518339e-002, 
170095755, 1.005452e+000, -3.504264e-002, 
170695740, 1.005573e+000, -3.538927e-002, 
171295725, 1.004961e+000, -3.666733e-002, 
171895710, 1.004418e+000, -3.668573e-002, 
172495695, 1.004843e+000, -3.654000e-002, 
173095680, 1.005001e+000, -3.641966e-002, 
173695665, 1.005045e+000, -3.676188e-002, 
174295650, 1.005510e+000, -3.638554e-002, 
174895635, 1.006532e+000, -3.767339e-002, 
175495620, 1.006927e+000, -3.831319e-002, 
176095605, 1.006894e+000, -3.756594e-002, 
176695590, 1.006842e+000, -3.796743e-002, 
177295575, 1.005836e+000, -3.822872e-002, 
177895560, 1.004896e+000, -3.727248e-002, 
178495545, 1.005026e+000, -3.667443e-002, 
179095530, 1.005507e+000, -3.706292e-002, 
179695515, 1.005494e+000, -3.677595e-002, 
180295500, 1.005451e+000, -3.658430e-002, 
180895485, 1.006275e+000, -3.689427e-002, 
181495470, 1.006561e+000, -3.684003e-002, 
182095455, 1.006115e+000, -3.648949e-002, 
182695440, 1.006435e+000, -3.677822e-002, 
183295425, 1.006829e+000, -3.756343e-002, 
183895410, 1.006922e+000, -3.758422e-002, 
184495395, 1.006032e+000, -3.735571e-002, 
185095380, 1.005151e+000, -3.724295e-002, 
185695365, 1.006329e+000, -3.716632e-002, 
186295350, 1.006967e+000, -3.726661e-002, 
186895335, 1.005386e+000, -3.685262e-002, 
187495320, 1.005626e+000, -3.724172e-002, 
188095305, 1.006128e+000, -3.792906e-002, 
188695290, 1.007149e+000, -3.737113e-002, 
189295275, 1.007938e+000, -3.759988e-002, 
189895260, 1.007263e+000, -3.882970e-002, 
190495245, 1.006615e+000, -3.879818e-002, 
191095230, 1.006558e+000, -3.851733e-002, 
191695215, 1.005656e+000, -3.843900e-002, 
192295200, 1.005499e+000, -3.867814e-002, 
192895185, 1.005907e+000, -3.938613e-002, 
193495170, 1.005912e+000, -3.891970e-002, 
194095155, 1.005949e+000, -3.763628e-002, 
194695140, 1.005714e+000, -3.767132e-002, 
195295125, 1.006034e+000, -3.822944e-002, 
195895110, 1.007370e+000, -3.728345e-002, 
196495095, 1.007709e+000, -3.764431e-002, 
197095080, 1.006152e+000, -3.809467e-002, 
197695065, 1.006344e+000, -3.756348e-002, 
198295050, 1.006833e+000, -3.794059e-002, 
198895035, 1.006480e+000, -3.888626e-002, 
199495020, 1.005815e+000, -3.945460e-002, 
200095005, 1.005021e+000, -4.019057e-002, 
200694990, 1.006163e+000, -3.946183e-002, 
201294975, 1.007336e+000, -3.874972e-002, 
201894960, 1.007376e+000, -3.872647e-002, 
202494945, 1.006874e+000, -3.849140e-002, 
203094930, 1.006399e+000, -3.880119e-002, 
203694915, 1.006924e+000, -3.814639e-002, 
204294900, 1.007553e+000, -3.738513e-002, 
204894885, 1.007597e+000, -3.877050e-002, 
205494870, 1.007505e+000, -3.949879e-002, 
206094855, 1.007570e+000, -3.794167e-002, 
206694840, 1.006301e+000, -3.877474e-002, 
207294825, 1.006702e+000, -3.969098e-002, 
207894810, 1.007996e+000, -3.843376e-002, 
208494795, 1.008339e+000, -3.820264e-002, 
209094780, 1.007110e+000, -3.905189e-002, 
209694765, 1.007335e+000, -3.950458e-002, 
210294750, 1.008050e+000, -4.013776e-002, 
210894735, 1.007169e+000, -3.928380e-002, 
211494720, 1.007293e+000, -3.879710e-002, 
212094705, 1.008152e+000, -3.981621e-002, 
212694690, 1.008471e+000, -3.972878e-002, 
213294675, 1.008040e+000, -3.956460e-002, 
213894660, 1.006750e+000, -3.987356e-002, 
214494645, 1.006300e+000, -4.007759e-002, 
215094630, 1.006757e+000, -4.026814e-002, 
215694615, 1.006901e+000, -3.972145e-002, 
216294600, 1.007718e+000, -3.880415e-002, 
216894585, 1.007900e+000, -4.001308e-002, 
217494570, 1.008159e+000, -4.107366e-002, 
218094555, 1.008762e+000, -4.117720e-002, 
218694540, 1.008636e+000, -4.070620e-002, 
219294525, 1.008403e+000, -3.950677e-002, 
219894510, 1.007238e+000, -4.013361e-002, 
220494495, 1.007321e+000, -4.081503e-002, 
221094480, 1.008684e+000, -3.998793e-002, 
221694465, 1.009081e+000, -4.081704e-002, 
222294450, 1.008311e+000, -4.175460e-002, 
222894435, 1.006101e+000, -4.029666e-002, 
223494420, 1.007165e+000, -3.996901e-002, 
224094405, 1.009346e+000, -3.990796e-002, 
224694390, 1.008697e+000, -4.028405e-002, 
225294375, 1.007834e+000, -4.103152e-002, 
225894360, 1.007809e+000, -4.059125e-002, 
226494345, 1.008330e+000, -4.070473e-002, 
227094330, 1.008657e+000, -4.104486e-002, 
227694315, 1.008107e+000, -4.015684e-002, 
228294300, 1.007092e+000, -3.984474e-002, 
228894285, 1.006557e+000, -4.055418e-002, 
229494270, 1.007613e+000, -4.011101e-002, 
230094255, 1.009506e+000, -3.938068e-002, 
230694240, 1.008605e+000, -4.038913e-002, 
231294225, 1.007976e+000, -4.164349e-002, 
231894210, 1.008420e+000, -4.167135e-002, 
232494195, 1.008215e+000, -4.164252e-002, 
233094180, 1.007824e+000, -4.196979e-002, 
233694165, 1.008279e+000, -4.207300e-002, 
234294150, 1.009026e+000, -4.157184e-002, 
234894135, 1.008792e+000, -4.170311e-002, 
235494120, 1.008857e+000, -4.155163e-002, 
236094105, 1.009135e+000, -4.072106e-002, 
236694090, 1.009006e+000, -4.133308e-002, 
237294075, 1.008566e+000, -4.207374e-002, 
