"S11 POLAR"
"Frequency (Hz)","U","U",
1000000000, 1.013420e+000, -1.759534e-001, 
1000350000, 1.013854e+000, -1.756913e-001, 
1000700000, 1.013888e+000, -1.759542e-001, 
1001050000, 1.013809e+000, -1.763837e-001, 
1001400000, 1.013311e+000, -1.770695e-001, 
1001750000, 1.012905e+000, -1.782429e-001, 
1002100000, 1.012780e+000, -1.791189e-001, 
1002450000, 1.012525e+000, -1.788961e-001, 
1002800000, 1.012379e+000, -1.778295e-001, 
1003150000, 1.012472e+000, -1.766685e-001, 
1003500000, 1.013441e+000, -1.763842e-001, 
1003850000, 1.014479e+000, -1.764031e-001, 
1004200000, 1.015244e+000, -1.764947e-001, 
1004550000, 1.014782e+000, -1.767347e-001, 
1004900000, 1.014362e+000, -1.770607e-001, 
1005250000, 1.014204e+000, -1.774439e-001, 
1005600000, 1.014471e+000, -1.775018e-001, 
1005950000, 1.014659e+000, -1.776730e-001, 
1006300000, 1.014290e+000, -1.778639e-001, 
1006650000, 1.012828e+000, -1.779513e-001, 
1007000000, 1.011836e+000, -1.779957e-001, 
1007350000, 1.011638e+000, -1.782616e-001, 
1007700000, 1.012552e+000, -1.783649e-001, 
1008050000, 1.013312e+000, -1.784822e-001, 
1008400000, 1.013798e+000, -1.783742e-001, 
1008750000, 1.014105e+000, -1.783479e-001, 
1009100000, 1.014216e+000, -1.781449e-001, 
1009450000, 1.013420e+000, -1.781304e-001, 
1009800000, 1.012471e+000, -1.780963e-001, 
1010150000, 1.011799e+000, -1.782724e-001, 
1010500000, 1.011509e+000, -1.782962e-001, 
1010850000, 1.011310e+000, -1.786977e-001, 
1011200000, 1.011141e+000, -1.791370e-001, 
1011550000, 1.011595e+000, -1.789003e-001, 
1011900000, 1.012026e+000, -1.784024e-001, 
1012250000, 1.012231e+000, -1.779004e-001, 
1012600000, 1.010638e+000, -1.779155e-001, 
1012950000, 1.009492e+000, -1.784753e-001, 
1013300000, 1.008918e+000, -1.790937e-001, 
1013650000, 1.010140e+000, -1.792252e-001, 
1014000000, 1.011139e+000, -1.792815e-001, 
1014350000, 1.011875e+000, -1.792086e-001, 
1014700000, 1.012039e+000, -1.793090e-001, 
1015050000, 1.012006e+000, -1.792155e-001, 
1015400000, 1.011603e+000, -1.790460e-001, 
1015750000, 1.011111e+000, -1.788372e-001, 
1016100000, 1.010887e+000, -1.788337e-001, 
1016450000, 1.011658e+000, -1.789565e-001, 
1016800000, 1.012980e+000, -1.791023e-001, 
1017150000, 1.013617e+000, -1.791154e-001, 
1017500000, 1.013481e+000, -1.798904e-001, 
1017850000, 1.012979e+000, -1.809181e-001, 
1018200000, 1.012328e+000, -1.818399e-001, 
1018550000, 1.012405e+000, -1.817348e-001, 
1018900000, 1.012614e+000, -1.813204e-001, 
1019250000, 1.012830e+000, -1.809713e-001, 
1019600000, 1.012777e+000, -1.804058e-001, 
1019950000, 1.012394e+000, -1.799056e-001, 
1020300000, 1.011942e+000, -1.796233e-001, 
1020650000, 1.011932e+000, -1.795447e-001, 
1021000000, 1.011952e+000, -1.794101e-001, 
1021350000, 1.011986e+000, -1.793665e-001, 
1021700000, 1.011966e+000, -1.793676e-001, 
1022050000, 1.012082e+000, -1.795455e-001, 
1022400000, 1.012262e+000, -1.797768e-001, 
1022750000, 1.011947e+000, -1.800826e-001, 
1023100000, 1.011812e+000, -1.804565e-001, 
1023450000, 1.011525e+000, -1.806928e-001, 
1023800000, 1.011259e+000, -1.807828e-001, 
1024150000, 1.011228e+000, -1.806574e-001, 
1024500000, 1.011894e+000, -1.806054e-001, 
1024850000, 1.012496e+000, -1.805468e-001, 
1025200000, 1.012805e+000, -1.805778e-001, 
1025550000, 1.012278e+000, -1.810340e-001, 
1025900000, 1.011708e+000, -1.815651e-001, 
1026250000, 1.011008e+000, -1.818659e-001, 
1026600000, 1.010721e+000, -1.817690e-001, 
1026950000, 1.010678e+000, -1.817355e-001, 
1027300000, 1.010863e+000, -1.820428e-001, 
1027650000, 1.011724e+000, -1.828512e-001, 
1028000000, 1.012128e+000, -1.830608e-001, 
1028350000, 1.012303e+000, -1.827491e-001, 
1028700000, 1.012185e+000, -1.822107e-001, 
1029050000, 1.012300e+000, -1.817928e-001, 
1029400000, 1.012397e+000, -1.816687e-001, 
1029750000, 1.012416e+000, -1.819276e-001, 
1030100000, 1.012318e+000, -1.822803e-001, 
1030450000, 1.012081e+000, -1.830461e-001, 
1030800000, 1.011742e+000, -1.839319e-001, 
1031150000, 1.011581e+000, -1.847347e-001, 
1031500000, 1.011665e+000, -1.848046e-001, 
1031850000, 1.011921e+000, -1.845105e-001, 
1032200000, 1.011747e+000, -1.844488e-001, 
1032550000, 1.011981e+000, -1.843212e-001, 
1032900000, 1.012285e+000, -1.840883e-001, 
1033250000, 1.012527e+000, -1.840131e-001, 
1033600000, 1.012096e+000, -1.832966e-001, 
1033950000, 1.011537e+000, -1.830698e-001, 
1034300000, 1.010815e+000, -1.830474e-001, 
1034650000, 1.010984e+000, -1.841722e-001, 
1035000000, 1.011159e+000, -1.851593e-001, 
1035350000, 1.011328e+000, -1.858033e-001, 
1035700000, 1.010847e+000, -1.855662e-001, 
1036050000, 1.010508e+000, -1.852055e-001, 
1036400000, 1.010602e+000, -1.849484e-001, 
1036750000, 1.011058e+000, -1.844857e-001, 
1037100000, 1.011189e+000, -1.840934e-001, 
1037450000, 1.011024e+000, -1.843615e-001, 
1037800000, 1.010579e+000, -1.849990e-001, 
1038150000, 1.010446e+000, -1.855164e-001, 
1038500000, 1.011501e+000, -1.857752e-001, 
1038850000, 1.012662e+000, -1.861761e-001, 
1039200000, 1.013016e+000, -1.864935e-001, 
1039550000, 1.011655e+000, -1.858076e-001, 
1039900000, 1.010432e+000, -1.846898e-001, 
1040250000, 1.009887e+000, -1.835900e-001, 
1040600000, 1.011157e+000, -1.843374e-001, 
1040950000, 1.012046e+000, -1.853432e-001, 
1041300000, 1.012334e+000, -1.864391e-001, 
1041650000, 1.010256e+000, -1.876268e-001, 
1042000000, 1.009119e+000, -1.883486e-001, 
1042350000, 1.009111e+000, -1.887177e-001, 
1042700000, 1.010844e+000, -1.878055e-001, 
1043050000, 1.011872e+000, -1.869021e-001, 
1043400000, 1.011793e+000, -1.864229e-001, 
1043750000, 1.010989e+000, -1.867543e-001, 
1044100000, 1.010543e+000, -1.872175e-001, 
1044450000, 1.011037e+000, -1.874620e-001, 
1044800000, 1.011782e+000, -1.872619e-001, 
1045150000, 1.012303e+000, -1.872798e-001, 
1045500000, 1.012365e+000, -1.868012e-001, 
1045850000, 1.012172e+000, -1.860763e-001, 
1046200000, 1.012202e+000, -1.853690e-001, 
1046550000, 1.012289e+000, -1.856060e-001, 
1046900000, 1.012226e+000, -1.862456e-001, 
1047250000, 1.011908e+000, -1.868225e-001, 
1047600000, 1.010944e+000, -1.871244e-001, 
1047950000, 1.010414e+000, -1.875253e-001, 
1048300000, 1.010317e+000, -1.880082e-001, 
1048650000, 1.011127e+000, -1.878707e-001, 
1049000000, 1.011822e+000, -1.877556e-001, 
1049350000, 1.012451e+000, -1.878698e-001, 
1049700000, 1.013378e+000, -1.883053e-001, 
1050050000, 1.013801e+000, -1.886920e-001, 
1050400000, 1.013076e+000, -1.888585e-001, 
1050750000, 1.011241e+000, -1.892734e-001, 
1051100000, 1.010179e+000, -1.895217e-001, 
1051450000, 1.010423e+000, -1.896662e-001, 
1051800000, 1.011560e+000, -1.895846e-001, 
1052150000, 1.012235e+000, -1.894182e-001, 
1052500000, 1.012171e+000, -1.889155e-001, 
1052850000, 1.011925e+000, -1.883616e-001, 
1053200000, 1.012001e+000, -1.880381e-001, 
1053550000, 1.011110e+000, -1.889537e-001, 
1053900000, 1.010086e+000, -1.901053e-001, 
1054250000, 1.008994e+000, -1.912054e-001, 
1054600000, 1.009277e+000, -1.911644e-001, 
1054950000, 1.009575e+000, -1.909928e-001, 
1055300000, 1.010006e+000, -1.907133e-001, 
1055650000, 1.010532e+000, -1.898257e-001, 
1056000000, 1.011108e+000, -1.890663e-001, 
1056350000, 1.011580e+000, -1.886771e-001, 
1056700000, 1.010892e+000, -1.891595e-001, 
1057050000, 1.010342e+000, -1.895431e-001, 
1057400000, 1.010371e+000, -1.895958e-001, 
1057750000, 1.011189e+000, -1.890786e-001, 
1058100000, 1.011782e+000, -1.887435e-001, 
1058450000, 1.011633e+000, -1.891426e-001, 
1058800000, 1.011151e+000, -1.899996e-001, 
1059150000, 1.010872e+000, -1.906927e-001, 
1059500000, 1.010794e+000, -1.907970e-001, 
1059850000, 1.010924e+000, -1.903943e-001, 
1060200000, 1.011027e+000, -1.900509e-001, 
1060550000, 1.010917e+000, -1.894094e-001, 
1060900000, 1.010763e+000, -1.888844e-001, 
1061250000, 1.010616e+000, -1.883641e-001, 
1061600000, 1.010806e+000, -1.892911e-001, 
1061950000, 1.011007e+000, -1.899986e-001, 
1062300000, 1.010974e+000, -1.902308e-001, 
1062650000, 1.010047e+000, -1.898983e-001, 
1063000000, 1.009517e+000, -1.897878e-001, 
1063350000, 1.009839e+000, -1.897358e-001, 
1063700000, 1.010877e+000, -1.901783e-001, 
1064050000, 1.011569e+000, -1.905430e-001, 
1064400000, 1.011720e+000, -1.908789e-001, 
1064750000, 1.011720e+000, -1.912638e-001, 
1065100000, 1.011452e+000, -1.916051e-001, 
1065450000, 1.011252e+000, -1.912495e-001, 
1065800000, 1.010968e+000, -1.906711e-001, 
1066150000, 1.010970e+000, -1.907124e-001, 
1066500000, 1.011415e+000, -1.903975e-001, 
1066850000, 1.011851e+000, -1.899284e-001, 
1067200000, 1.011896e+000, -1.891603e-001, 
1067550000, 1.010817e+000, -1.898536e-001, 
1067900000, 1.009794e+000, -1.908417e-001, 
1068250000, 1.009263e+000, -1.915607e-001, 
1068600000, 1.010415e+000, -1.915731e-001, 
1068950000, 1.011135e+000, -1.918178e-001, 
1069300000, 1.011350e+000, -1.923108e-001, 
1069650000, 1.010034e+000, -1.927872e-001, 
1070000000, 1.009336e+000, -1.931972e-001, 
1070350000, 1.009608e+000, -1.933714e-001, 
1070700000, 1.010920e+000, -1.927814e-001, 
1071050000, 1.011737e+000, -1.922166e-001, 
1071400000, 1.011407e+000, -1.917906e-001, 
1071750000, 1.010071e+000, -1.919196e-001, 
1072100000, 1.009184e+000, -1.920326e-001, 
1072450000, 1.009237e+000, -1.922022e-001, 
1072800000, 1.009773e+000, -1.920435e-001, 
1073150000, 1.010034e+000, -1.919251e-001, 
1073500000, 1.009336e+000, -1.920607e-001, 
1073850000, 1.008613e+000, -1.922704e-001, 
1074200000, 1.008392e+000, -1.924443e-001, 
1074550000, 1.009521e+000, -1.925403e-001, 
1074900000, 1.010556e+000, -1.925396e-001, 
1075250000, 1.011127e+000, -1.923838e-001, 
1075600000, 1.010321e+000, -1.922822e-001, 
1075950000, 1.009724e+000, -1.919852e-001, 
1076300000, 1.009297e+000, -1.920055e-001, 
1076650000, 1.009385e+000, -1.921363e-001, 
1077000000, 1.009335e+000, -1.922912e-001, 
1077350000, 1.009404e+000, -1.923831e-001, 
1077700000, 1.009939e+000, -1.927255e-001, 
1078050000, 1.010118e+000, -1.932548e-001, 
1078400000, 1.010091e+000, -1.933036e-001, 
1078750000, 1.010254e+000, -1.926821e-001, 
1079100000, 1.010362e+000, -1.919627e-001, 
1079450000, 1.010476e+000, -1.920684e-001, 
1079800000, 1.010295e+000, -1.929259e-001, 
1080150000, 1.010039e+000, -1.935947e-001, 
1080500000, 1.010148e+000, -1.940126e-001, 
1080850000, 1.010142e+000, -1.940517e-001, 
1081200000, 1.009878e+000, -1.938553e-001, 
1081550000, 1.009083e+000, -1.937330e-001, 
1081900000, 1.008432e+000, -1.939296e-001, 
1082250000, 1.008085e+000, -1.943347e-001, 
1082600000, 1.009252e+000, -1.943274e-001, 
1082950000, 1.010297e+000, -1.941739e-001, 
1083300000, 1.010694e+000, -1.938156e-001, 
1083650000, 1.010516e+000, -1.935559e-001, 
1084000000, 1.010342e+000, -1.934960e-001, 
1084350000, 1.010202e+000, -1.933675e-001, 
1084700000, 1.010176e+000, -1.932638e-001, 
1085050000, 1.010073e+000, -1.932905e-001, 
1085400000, 1.010183e+000, -1.935234e-001, 
1085750000, 1.010268e+000, -1.941908e-001, 
1086100000, 1.010498e+000, -1.947854e-001, 
1086450000, 1.010875e+000, -1.949334e-001, 
1086800000, 1.011460e+000, -1.947320e-001, 
1087150000, 1.011770e+000, -1.945291e-001, 
1087500000, 1.011593e+000, -1.941635e-001, 
1087850000, 1.011235e+000, -1.938072e-001, 
1088200000, 1.010998e+000, -1.935660e-001, 
1088550000, 1.010412e+000, -1.941170e-001, 
1088900000, 1.009983e+000, -1.946990e-001, 
1089250000, 1.009546e+000, -1.955014e-001, 
1089600000, 1.009638e+000, -1.961539e-001, 
1089950000, 1.009694e+000, -1.964608e-001, 
1090300000, 1.009358e+000, -1.962721e-001, 
1090650000, 1.009583e+000, -1.958182e-001, 
1091000000, 1.009778e+000, -1.954807e-001, 
1091350000, 1.010144e+000, -1.952906e-001, 
1091700000, 1.010999e+000, -1.951582e-001, 
1092050000, 1.011589e+000, -1.951782e-001, 
1092400000, 1.011451e+000, -1.953587e-001, 
1092750000, 1.010636e+000, -1.954857e-001, 
1093100000, 1.010150e+000, -1.956492e-001, 
1093450000, 1.010115e+000, -1.961461e-001, 
1093800000, 1.009825e+000, -1.969165e-001, 
1094150000, 1.009490e+000, -1.972460e-001, 
1094500000, 1.009286e+000, -1.967244e-001, 
1094850000, 1.009284e+000, -1.960711e-001, 
1095200000, 1.009449e+000, -1.955094e-001, 
1095550000, 1.010167e+000, -1.955566e-001, 
1095900000, 1.010890e+000, -1.959107e-001, 
1096250000, 1.011222e+000, -1.961513e-001, 
1096600000, 1.010764e+000, -1.965247e-001, 
1096950000, 1.010296e+000, -1.966422e-001, 
1097300000, 1.009796e+000, -1.967021e-001, 
1097650000, 1.009685e+000, -1.968287e-001, 
1098000000, 1.009498e+000, -1.970375e-001, 
1098350000, 1.009454e+000, -1.975081e-001, 
1098700000, 1.009435e+000, -1.980220e-001, 
1099050000, 1.009479e+000, -1.981889e-001, 
1099400000, 1.009395e+000, -1.982309e-001, 
1099750000, 1.009247e+000, -1.983449e-001, 
1100100000, 1.009139e+000, -1.986348e-001, 
1100450000, 1.009549e+000, -1.983901e-001, 
1100800000, 1.010093e+000, -1.977291e-001, 
1101150000, 1.010180e+000, -1.970763e-001, 
1101500000, 1.010338e+000, -1.974505e-001, 
1101850000, 1.010469e+000, -1.981181e-001, 
1102200000, 1.010483e+000, -1.986123e-001, 
1102550000, 1.010283e+000, -1.986651e-001, 
1102900000, 1.010051e+000, -1.987479e-001, 
1103250000, 1.010020e+000, -1.989206e-001, 
1103600000, 1.009652e+000, -1.981891e-001, 
1103950000, 1.009399e+000, -1.972651e-001, 
1104300000, 1.009347e+000, -1.963166e-001, 
1104650000, 1.009331e+000, -1.973621e-001, 
1105000000, 1.009239e+000, -1.986424e-001, 
1105350000, 1.009268e+000, -1.997402e-001, 
1105700000, 1.009827e+000, -2.001245e-001, 
1106050000, 1.010093e+000, -2.004592e-001, 
1106400000, 1.010110e+000, -2.003769e-001, 
1106750000, 1.009966e+000, -1.994448e-001, 
1107100000, 1.009599e+000, -1.986729e-001, 
1107450000, 1.009142e+000, -1.987438e-001, 
1107800000, 1.008451e+000, -1.997431e-001, 
1108150000, 1.007998e+000, -2.008881e-001, 
1108500000, 1.008268e+000, -2.009021e-001, 
1108850000, 1.008885e+000, -2.002660e-001, 
1109200000, 1.009511e+000, -1.998288e-001, 
1109550000, 1.009716e+000, -2.007036e-001, 
1109900000, 1.009606e+000, -2.018912e-001, 
1110250000, 1.009524e+000, -2.030274e-001, 
1110600000, 1.010014e+000, -2.027733e-001, 
1110950000, 1.010364e+000, -2.021235e-001, 
1111300000, 1.010550e+000, -2.012707e-001, 
1111650000, 1.010201e+000, -2.014282e-001, 
1112000000, 1.009769e+000, -2.015913e-001, 
1112350000, 1.009214e+000, -2.016946e-001, 
1112700000, 1.008935e+000, -2.021029e-001, 
1113050000, 1.008765e+000, -2.020379e-001, 
