"S22 POLAR"
"Frequency (Hz)","U","U",
3870563143.0187, 3.077373e-001, -1.042045e+000, 
3870629468.8525, 3.075324e-001, -1.042319e+000, 
3870695794.6863, 3.072718e-001, -1.042666e+000, 
3870762120.5201, 3.070050e-001, -1.042925e+000, 
3870828446.3539, 3.066838e-001, -1.043164e+000, 
3870894772.1877, 3.064618e-001, -1.043421e+000, 
3870961098.0215, 3.061736e-001, -1.043591e+000, 
3871027423.8553, 3.059220e-001, -1.043682e+000, 
3871093749.6891, 3.057235e-001, -1.043762e+000, 
3871160075.5229, 3.055061e-001, -1.043874e+000, 
3871226401.3567, 3.052792e-001, -1.043981e+000, 
3871292727.1905, 3.054764e-001, -1.043772e+000, 
3871359053.0243, 3.057146e-001, -1.043530e+000, 
3871425378.8581, 3.059584e-001, -1.043309e+000, 
3871491704.6919, 3.061361e-001, -1.043063e+000, 
3871558030.5257, 3.063781e-001, -1.042889e+000, 
3871624356.3595, 3.066495e-001, -1.042685e+000, 
3871690682.1933, 3.068197e-001, -1.042617e+000, 
3871757008.0271, 3.070940e-001, -1.042434e+000, 
3871823333.8609, 3.072942e-001, -1.042215e+000, 
3871889659.6947, 3.076077e-001, -1.042097e+000, 
3871955985.5285, 3.078406e-001, -1.041996e+000, 
3872022311.3624, 3.080645e-001, -1.041932e+000, 
3872088637.1962, 3.082710e-001, -1.041842e+000, 
3872154963.03, 3.085229e-001, -1.041826e+000, 
3872221288.8638, 3.087187e-001, -1.041793e+000, 
3872287614.6976, 3.086064e-001, -1.041933e+000, 
3872353940.5314, 3.082587e-001, -1.042327e+000, 
3872420266.3652, 3.079525e-001, -1.042703e+000, 
3872486592.199, 3.076567e-001, -1.042974e+000, 
3872552918.0328, 3.072765e-001, -1.043271e+000, 
3872619243.8666, 3.070779e-001, -1.043574e+000, 
3872685569.7004, 3.067287e-001, -1.043829e+000, 
3872751895.5342, 3.065107e-001, -1.044093e+000, 
3872818221.368, 3.062611e-001, -1.044270e+000, 
3872884547.2018, 3.059896e-001, -1.044480e+000, 
3872950873.0356, 3.058196e-001, -1.044644e+000, 
3873017198.8694, 3.056001e-001, -1.044802e+000, 
3873083524.7032, 3.053837e-001, -1.045004e+000, 
3873149850.537, 3.052400e-001, -1.045136e+000, 
3873216176.3708, 3.050672e-001, -1.045277e+000, 
3873282502.2046, 3.051512e-001, -1.045266e+000, 
3873348828.0384, 3.053162e-001, -1.045319e+000, 
3873415153.8722, 3.053867e-001, -1.045352e+000, 
3873481479.706, 3.055623e-001, -1.045370e+000, 
3873547805.5399, 3.056359e-001, -1.045308e+000, 
3873614131.3737, 3.058344e-001, -1.045346e+000, 
3873680457.2075, 3.060102e-001, -1.045300e+000, 
3873746783.0413, 3.062052e-001, -1.045298e+000, 
3873813108.8751, 3.063065e-001, -1.045207e+000, 
3873879434.7089, 3.065132e-001, -1.045185e+000, 
3873945760.5427, 3.067417e-001, -1.045058e+000, 
3874012086.3765, 3.069442e-001, -1.044995e+000, 
3874078412.2103, 3.070529e-001, -1.044848e+000, 
3874144738.0441, 3.072729e-001, -1.044766e+000, 
3874211063.8779, 3.074365e-001, -1.044697e+000, 
3874277389.7117, 3.075353e-001, -1.044449e+000, 
3874343715.5455, 3.074608e-001, -1.044370e+000, 
3874410041.3793, 3.073983e-001, -1.044217e+000, 
3874476367.2131, 3.072705e-001, -1.044084e+000, 
3874542693.0469, 3.071933e-001, -1.044000e+000, 
3874609018.8807, 3.070628e-001, -1.043839e+000, 
3874675344.7145, 3.070002e-001, -1.043739e+000, 
3874741670.5483, 3.069231e-001, -1.043681e+000, 
3874807996.3821, 3.068356e-001, -1.043539e+000, 
3874874322.2159, 3.067998e-001, -1.043493e+000, 
3874940648.0497, 3.067129e-001, -1.043409e+000, 
3875006973.8835, 3.066850e-001, -1.043296e+000, 
