"S44 POLAR"
"Frequency (Hz)","U","U",
300000, 1.295180e+000, -8.088429e-002, 
951035, 1.200505e+000, -9.473836e-002, 
1602070, 1.180159e+000, -1.589864e-001, 
2253105, 1.163993e+000, -2.132707e-001, 
2904140, 1.146406e+000, -2.732558e-001, 
3555175, 1.123143e+000, -3.297647e-001, 
4206210, 1.097284e+000, -3.835304e-001, 
4857245, 1.069250e+000, -4.341089e-001, 
5508280, 1.037419e+000, -4.819598e-001, 
6159315, 1.004590e+000, -5.228059e-001, 
6810350, 9.678475e-001, -5.680345e-001, 
7461385, 9.307781e-001, -6.061643e-001, 
8112420, 8.936324e-001, -6.367348e-001, 
8763455, 8.545139e-001, -6.688769e-001, 
9414490, 8.147801e-001, -6.978487e-001, 
10065525, 7.779229e-001, -7.254542e-001, 
10716560, 7.378840e-001, -7.478390e-001, 
11367595, 6.974698e-001, -7.674869e-001, 
12018630, 6.577060e-001, -7.851405e-001, 
12669665, 6.187868e-001, -8.005924e-001, 
13320700, 5.828875e-001, -8.148753e-001, 
13971735, 5.456731e-001, -8.263373e-001, 
14622770, 5.090151e-001, -8.352655e-001, 
15273805, 4.733844e-001, -8.425224e-001, 
15924840, 4.381669e-001, -8.489881e-001, 
16575875, 4.040624e-001, -8.538066e-001, 
17226910, 3.710552e-001, -8.578439e-001, 
17877945, 3.387605e-001, -8.606186e-001, 
18528980, 3.075581e-001, -8.624684e-001, 
19180015, 2.773679e-001, -8.633609e-001, 
19831050, 2.477177e-001, -8.638023e-001, 
20482085, 2.187363e-001, -8.636155e-001, 
21133120, 1.907800e-001, -8.628756e-001, 
21784155, 1.635649e-001, -8.617961e-001, 
22435190, 1.369988e-001, -8.597742e-001, 
23086225, 1.110983e-001, -8.578225e-001, 
23737260, 8.567262e-002, -8.552187e-001, 
24388295, 6.085369e-002, -8.530290e-001, 
25039330, 3.667680e-002, -8.501719e-001, 
25690365, 1.242617e-002, -8.468323e-001, 
26341400, -1.123725e-002, -8.435608e-001, 
26992435, -3.439352e-002, -8.402529e-001, 
27643470, -5.745436e-002, -8.369606e-001, 
28294505, -8.005928e-002, -8.335463e-001, 
28945540, -1.028596e-001, -8.295294e-001, 
29596575, -1.252145e-001, -8.256980e-001, 
30247610, -1.480491e-001, -8.218749e-001, 
30898645, -1.700816e-001, -8.175469e-001, 
31549680, -1.926550e-001, -8.136331e-001, 
32200715, -2.150273e-001, -8.091495e-001, 
32851750, -2.375854e-001, -8.043630e-001, 
33502785, -2.604031e-001, -7.995472e-001, 
34153820, -2.832128e-001, -7.944191e-001, 
34804855, -3.064875e-001, -7.891976e-001, 
35455890, -3.302529e-001, -7.835830e-001, 
36106925, -3.536666e-001, -7.781069e-001, 
36757960, -3.784121e-001, -7.712642e-001, 
37408995, -4.029412e-001, -7.647300e-001, 
38060030, -4.276724e-001, -7.575246e-001, 
38711065, -4.529072e-001, -7.495217e-001, 
39362100, -4.785497e-001, -7.410976e-001, 
40013135, -5.048056e-001, -7.287790e-001, 
40664170, -5.316771e-001, -7.181965e-001, 
41315205, -5.597821e-001, -7.064952e-001, 
41966240, -5.871574e-001, -6.941760e-001, 
42617275, -6.151834e-001, -6.806809e-001, 
43268310, -6.442291e-001, -6.659136e-001, 
43919345, -6.729096e-001, -6.495472e-001, 
44570380, -7.020211e-001, -6.315888e-001, 
45221415, -7.311966e-001, -6.121276e-001, 
45872450, -7.615324e-001, -5.914786e-001, 
46523485, -7.905753e-001, -5.687320e-001, 
47174520, -8.203925e-001, -5.446744e-001, 
47825555, -8.495690e-001, -5.175254e-001, 
48476590, -8.789080e-001, -4.888948e-001, 
49127625, -9.070993e-001, -4.583085e-001, 
49778660, -9.344490e-001, -4.252613e-001, 
50429695, -9.612569e-001, -3.894437e-001, 
51080730, -9.861372e-001, -3.511136e-001, 
51731765, -1.009343e+000, -3.115981e-001, 
52382800, -1.031753e+000, -2.691039e-001, 
53033835, -1.051655e+000, -2.244972e-001, 
53684870, -1.069059e+000, -1.776036e-001, 
54335905, -1.083958e+000, -1.298610e-001, 
54986940, -1.096264e+000, -7.861035e-002, 
55637975, -1.105092e+000, -2.654923e-002, 
56289010, -1.109816e+000, 2.619983e-002, 
56940045, -1.112313e+000, 8.045409e-002, 
57591080, -1.110675e+000, 1.344877e-001, 
58242115, -1.104402e+000, 1.893802e-001, 
58893150, -1.095154e+000, 2.444793e-001, 
59544185, -1.081541e+000, 2.976498e-001, 
60195220, -1.064550e+000, 3.507794e-001, 
60846255, -1.044442e+000, 4.020614e-001, 
61497290, -1.019478e+000, 4.514812e-001, 
62148325, -9.928485e-001, 4.990191e-001, 
62799360, -9.622044e-001, 5.436968e-001, 
63450395, -9.285315e-001, 5.857455e-001, 
64101430, -8.936046e-001, 6.244323e-001, 
64752465, -8.567729e-001, 6.605542e-001, 
65403500, -8.184918e-001, 6.911345e-001, 
66054535, -7.805692e-001, 7.208335e-001, 
66705570, -7.417547e-001, 7.472258e-001, 
67356605, -7.013162e-001, 7.719164e-001, 
68007640, -6.608034e-001, 7.934644e-001, 
68658675, -6.203001e-001, 8.121482e-001, 
69309710, -5.802359e-001, 8.278724e-001, 
69960745, -5.403069e-001, 8.409359e-001, 
70611780, -5.005607e-001, 8.513413e-001, 
71262815, -4.625099e-001, 8.603561e-001, 
71913850, -4.247664e-001, 8.673285e-001, 
72564885, -3.876965e-001, 8.726830e-001, 
73215920, -3.517084e-001, 8.758789e-001, 
73866955, -3.172787e-001, 8.782322e-001, 
74517990, -2.837011e-001, 8.792258e-001, 
75169025, -2.506524e-001, 8.793324e-001, 
75820060, -2.189841e-001, 8.779043e-001, 
76471095, -1.880408e-001, 8.755668e-001, 
77122130, -1.585349e-001, 8.727620e-001, 
77773165, -1.300967e-001, 8.694651e-001, 
78424200, -1.017602e-001, 8.654698e-001, 
79075235, -7.505715e-002, 8.609981e-001, 
79726270, -4.799280e-002, 8.569837e-001, 
80377305, -2.267363e-002, 8.514526e-001, 
81028340, 2.637235e-003, 8.459124e-001, 
81679375, 2.726210e-002, 8.400982e-001, 
82330410, 5.094934e-002, 8.344231e-001, 
82981445, 7.429719e-002, 8.274990e-001, 
83632480, 9.725979e-002, 8.218561e-001, 
84283515, 1.204210e-001, 8.152958e-001, 
84934550, 1.432412e-001, 8.089120e-001, 
85585585, 1.648131e-001, 8.025850e-001, 
86236620, 1.863478e-001, 7.951269e-001, 
86887655, 2.080781e-001, 7.883220e-001, 
87538690, 2.298596e-001, 7.812129e-001, 
88189725, 2.510138e-001, 7.737697e-001, 
88840760, 2.723781e-001, 7.664431e-001, 
89491795, 2.936163e-001, 7.587250e-001, 
90142830, 3.151758e-001, 7.503687e-001, 
90793865, 3.355596e-001, 7.424441e-001, 
91444900, 3.571934e-001, 7.340830e-001, 
92095935, 3.787500e-001, 7.255912e-001, 
92746970, 4.004683e-001, 7.162341e-001, 
93398005, 4.223464e-001, 7.077885e-001, 
94049040, 4.443777e-001, 6.977814e-001, 
94700075, 4.665978e-001, 6.875097e-001, 
95351110, 4.885394e-001, 6.768705e-001, 
96002145, 5.109737e-001, 6.656952e-001, 
96653180, 5.341052e-001, 6.540682e-001, 
97304215, 5.570625e-001, 6.421761e-001, 
97955250, 5.806301e-001, 6.293727e-001, 
98606285, 6.040436e-001, 6.152683e-001, 
99257320, 6.281084e-001, 6.005929e-001, 
99908355, 6.522053e-001, 5.847743e-001, 
100559390, 6.767867e-001, 5.679280e-001, 
101210425, 7.010956e-001, 5.502677e-001, 
101861460, 7.262991e-001, 5.314969e-001, 
102512495, 7.506305e-001, 5.109474e-001, 
103163530, 7.759835e-001, 4.890809e-001, 
103814565, 8.005619e-001, 4.656585e-001, 
104465600, 8.255520e-001, 4.411469e-001, 
105116635, 8.496978e-001, 4.146579e-001, 
105767670, 8.736238e-001, 3.868595e-001, 
106418705, 8.980163e-001, 3.564191e-001, 
107069740, 9.212308e-001, 3.244259e-001, 
107720775, 9.436092e-001, 2.902025e-001, 
108371810, 9.649443e-001, 2.544349e-001, 
109022845, 9.845335e-001, 2.164697e-001, 
109673880, 1.003562e+000, 1.755624e-001, 
110324915, 1.021049e+000, 1.335633e-001, 
110975950, 1.035419e+000, 8.883375e-002, 
111626985, 1.048768e+000, 4.234667e-002, 
112278020, 1.058947e+000, -6.065563e-003, 
112929055, 1.066114e+000, -5.599216e-002, 
113580090, 1.070825e+000, -1.073641e-001, 
114231125, 1.071739e+000, -1.603050e-001, 
114882160, 1.069094e+000, -2.133202e-001, 
115533195, 1.062869e+000, -2.674422e-001, 
116184230, 1.053737e+000, -3.220252e-001, 
116835265, 1.038960e+000, -3.768395e-001, 
117486300, 1.021529e+000, -4.294396e-001, 
118137335, 9.992678e-001, -4.817938e-001, 
118788370, 9.735479e-001, -5.321248e-001, 
119439405, 9.445120e-001, -5.813597e-001, 
120090440, 9.119146e-001, -6.274151e-001, 
120741475, 8.748785e-001, -6.713756e-001, 
121392510, 8.369085e-001, -7.116538e-001, 
122043545, 7.960140e-001, -7.491533e-001, 
122694580, 7.528813e-001, -7.831869e-001, 
123345615, 7.082220e-001, -8.137441e-001, 
123996650, 6.632954e-001, -8.411134e-001, 
124647685, 6.168094e-001, -8.640398e-001, 
125298720, 5.701497e-001, -8.842785e-001, 
125949755, 5.232263e-001, -9.002474e-001, 
126600790, 4.759612e-001, -9.139388e-001, 
127251825, 4.308849e-001, -9.242942e-001, 
127902860, 3.851189e-001, -9.314886e-001, 
128553895, 3.404647e-001, -9.364704e-001, 
129204930, 2.981797e-001, -9.385706e-001, 
129855965, 2.563788e-001, -9.387583e-001, 
130507000, 2.170669e-001, -9.371668e-001, 
131158035, 1.778328e-001, -9.343476e-001, 
131809070, 1.397369e-001, -9.288505e-001, 
132460105, 1.043750e-001, -9.226254e-001, 
133111140, 6.933205e-002, -9.152589e-001, 
133762175, 3.660547e-002, -9.070661e-001, 
