"S33 POLAR"
"Frequency (Hz)","U","U",
300000, 1.301749e+000, -8.432383e-002, 
1304985, 1.186313e+000, -1.222584e-001, 
2309970, 1.161220e+000, -2.062751e-001, 
3314955, 1.132870e+000, -2.923866e-001, 
4319940, 1.097939e+000, -3.735269e-001, 
5324925, 1.054731e+000, -4.472602e-001, 
6329910, 1.006818e+000, -5.156170e-001, 
7334895, 9.544105e-001, -5.766820e-001, 
8339880, 9.001201e-001, -6.295143e-001, 
9344865, 8.428706e-001, -6.775045e-001, 
10349850, 7.831148e-001, -7.200963e-001, 
11354835, 7.230426e-001, -7.536732e-001, 
12359820, 6.639734e-001, -7.821734e-001, 
13364805, 6.071531e-001, -8.059577e-001, 
14369790, 5.507725e-001, -8.239405e-001, 
15374775, 4.955809e-001, -8.380652e-001, 
16379760, 4.424144e-001, -8.486356e-001, 
17384745, 3.908915e-001, -8.563322e-001, 
18389730, 3.416833e-001, -8.613142e-001, 
19394715, 2.943468e-001, -8.641115e-001, 
20399700, 2.487748e-001, -8.651056e-001, 
21404685, 2.049939e-001, -8.644938e-001, 
22409670, 1.629018e-001, -8.627819e-001, 
23414655, 1.225164e-001, -8.600581e-001, 
24419640, 8.342594e-002, -8.562382e-001, 
25424625, 4.526211e-002, -8.518628e-001, 
26429610, 8.123023e-003, -8.468351e-001, 
27434595, -2.788111e-002, -8.414614e-001, 
28439580, -6.342494e-002, -8.356271e-001, 
29444565, -9.828380e-002, -8.294026e-001, 
30449550, -1.329601e-001, -8.226401e-001, 
31454535, -1.673478e-001, -8.157058e-001, 
32459520, -2.017390e-001, -8.084137e-001, 
33464505, -2.361264e-001, -8.005441e-001, 
34469490, -2.706751e-001, -7.921280e-001, 
35474475, -3.057204e-001, -7.832374e-001, 
36479460, -3.413644e-001, -7.735286e-001, 
37484445, -3.776394e-001, -7.630922e-001, 
38489430, -4.146653e-001, -7.514639e-001, 
39494415, -4.522675e-001, -7.387030e-001, 
40499400, -4.903730e-001, -7.225789e-001, 
41504385, -5.306360e-001, -7.057678e-001, 
42509370, -5.718704e-001, -6.864133e-001, 
43514355, -6.130581e-001, -6.653997e-001, 
44519340, -6.551780e-001, -6.420060e-001, 
45524325, -6.980973e-001, -6.152722e-001, 
46529310, -7.416261e-001, -5.852910e-001, 
47534295, -7.853063e-001, -5.514430e-001, 
48539280, -8.288471e-001, -5.134849e-001, 
49544265, -8.718387e-001, -4.710093e-001, 
50549250, -9.139030e-001, -4.235606e-001, 
51554235, -9.541268e-001, -3.707197e-001, 
52559220, -9.919423e-001, -3.119833e-001, 
53564205, -1.026450e+000, -2.467714e-001, 
54569190, -1.056116e+000, -1.725699e-001, 
55574175, -1.069218e+000, -7.327317e-002, 
56579160, -1.037669e+000, -7.336207e-002, 
57584145, -1.103149e+000, 2.153511e-002, 
58589130, -1.109479e+000, 1.127053e-001, 
59594115, -1.104645e+000, 2.008124e-001, 
60599100, -1.090194e+000, 2.871680e-001, 
61604085, -1.066565e+000, 3.712655e-001, 
62609070, -1.034042e+000, 4.522149e-001, 
63614055, -9.929124e-001, 5.285787e-001, 
64619040, -9.447111e-001, 5.989504e-001, 
65624025, -8.901085e-001, 6.629831e-001, 
66629010, -8.306163e-001, 7.196820e-001, 
67633995, -7.676166e-001, 7.686406e-001, 
68638980, -7.023253e-001, 8.100876e-001, 
69643965, -6.358923e-001, 8.440463e-001, 
70648950, -5.692745e-001, 8.706507e-001, 
71653935, -5.036808e-001, 8.910507e-001, 
72658920, -4.395009e-001, 9.053920e-001, 
73663905, -3.773239e-001, 9.145486e-001, 
74668890, -3.173492e-001, 9.195787e-001, 
75673875, -2.600902e-001, 9.207469e-001, 
76678860, -2.054967e-001, 9.183347e-001, 
77683845, -1.534741e-001, 9.133891e-001, 
78688830, -1.040826e-001, 9.061276e-001, 
79693815, -5.721592e-002, 8.974220e-001, 
80698800, -1.260282e-002, 8.869641e-001, 
81703785, 2.980750e-002, 8.755473e-001, 
82708770, 7.043114e-002, 8.630716e-001, 
83713755, 1.091031e-001, 8.499914e-001, 
84718740, 1.463899e-001, 8.361248e-001, 
85723725, 1.821783e-001, 8.219705e-001, 
86728710, 2.166083e-001, 8.074645e-001, 
87733695, 2.503803e-001, 7.925721e-001, 
88738680, 2.830588e-001, 7.775128e-001, 
89743665, 3.151457e-001, 7.618750e-001, 
90748650, 3.467111e-001, 7.459490e-001, 
91753635, 3.778923e-001, 7.297679e-001, 
92758620, 4.087434e-001, 7.130582e-001, 
93763605, 4.394380e-001, 6.958703e-001, 
94768590, 4.700262e-001, 6.780925e-001, 
95773575, 5.006702e-001, 6.597462e-001, 
96778560, 5.314772e-001, 6.404737e-001, 
97783545, 5.623285e-001, 6.202534e-001, 
98788530, 5.934987e-001, 5.989015e-001, 
99793515, 6.248438e-001, 5.762039e-001, 
100798500, 6.562848e-001, 5.518369e-001, 
101803485, 6.880785e-001, 5.256441e-001, 
102808470, 7.199175e-001, 4.979219e-001, 
103813455, 7.519212e-001, 4.680865e-001, 
104818440, 7.839292e-001, 4.358824e-001, 
105823425, 8.156306e-001, 4.009923e-001, 
106828410, 8.474135e-001, 3.634419e-001, 
107833395, 8.780424e-001, 3.226076e-001, 
108838380, 9.080771e-001, 2.785515e-001, 
109843365, 9.368076e-001, 2.307252e-001, 
110848350, 9.637721e-001, 1.790643e-001, 
111853335, 9.879980e-001, 1.233253e-001, 
112858320, 1.009660e+000, 6.376420e-002, 
113863305, 1.027388e+000, 3.865393e-005, 
114868290, 1.040712e+000, -6.733613e-002, 
115873275, 1.048704e+000, -1.384504e-001, 
116878260, 1.050161e+000, -2.124434e-001, 
117883245, 1.044980e+000, -2.888470e-001, 
118888230, 1.032302e+000, -3.665546e-001, 
119893215, 1.011539e+000, -4.446598e-001, 
120898200, 9.824293e-001, -5.215242e-001, 
121903185, 9.449474e-001, -5.963541e-001, 
122908170, 8.992183e-001, -6.674635e-001, 
123913155, 8.459572e-001, -7.334778e-001, 
124918140, 7.861491e-001, -7.932421e-001, 
125923125, 7.206414e-001, -8.460717e-001, 
126928110, 6.511204e-001, -8.909799e-001, 
127933095, 5.786959e-001, -9.279731e-001, 
128938080, 5.049593e-001, -9.566669e-001, 
