"S21 POLAR"
"Frequency (Hz)","U","U",
300000, -1.409923e-006, 2.300524e-005, 
899985, 5.712877e-006, 1.593314e-005, 
1499970, -9.927004e-006, 5.465787e-005, 
2099955, 2.202195e-006, 2.653855e-006, 
2699940, -2.217719e-005, -6.057152e-005, 
3299925, -3.481650e-005, 4.131899e-006, 
3899910, 4.130871e-006, 2.744049e-006, 
4499895, -8.727828e-006, -1.825940e-006, 
5099880, 7.044701e-006, 1.997569e-005, 
5699865, -1.571682e-005, 1.015154e-006, 
6299850, -2.880543e-007, 1.214345e-005, 
6899835, -1.741262e-005, 6.138953e-006, 
7499820, 2.821386e-005, -6.459168e-006, 
8099805, -2.102750e-006, 3.510750e-006, 
8699790, 2.778055e-006, 9.829761e-006, 
9299775, -1.510287e-005, 4.654974e-006, 
9899760, 2.209567e-006, -3.031184e-007, 
10499745, -4.927828e-006, 7.261958e-006, 
11099730, 9.279238e-006, 6.851071e-006, 
11699715, -3.650210e-006, 9.764063e-006, 
12299700, 6.062146e-006, 2.238391e-005, 
12899685, 2.999578e-006, 7.119275e-006, 
13499670, 1.919443e-005, 3.157511e-006, 
14099655, 7.858225e-007, 6.944884e-008, 
14699640, -9.630953e-006, 1.893821e-006, 
15299625, 1.273037e-005, -5.670159e-006, 
15899610, 1.060385e-005, 4.120959e-006, 
16499595, 1.416051e-005, -9.412956e-006, 
17099580, 6.343736e-006, 3.697921e-005, 
17699565, -1.667945e-006, 4.010484e-006, 
18299550, 1.334735e-005, 2.565676e-005, 
18899535, -3.515463e-005, 2.635527e-005, 
19499520, 1.300601e-006, 1.541219e-006, 
20099505, 1.850058e-005, 1.625468e-005, 
20699490, -1.052072e-005, 2.043007e-005, 
21299475, -6.458314e-006, 8.777538e-006, 
21899460, 5.151392e-006, 1.906231e-005, 
22499445, -3.786284e-006, 5.980395e-006, 
23099430, 1.017765e-005, 1.698309e-005, 
23699415, 2.162210e-005, -3.956568e-006, 
24299400, 1.183626e-005, 9.351705e-006, 
24899385, 1.031519e-005, -8.026804e-006, 
25499370, 4.300743e-006, 2.624293e-005, 
26099355, -2.406486e-005, 1.860703e-006, 
26699340, 4.504860e-006, -1.204203e-005, 
27299325, 1.229467e-005, 9.705760e-006, 
27899310, 2.516236e-005, 2.422617e-005, 
28499295, 1.330907e-005, 1.948626e-006, 
29099280, -9.383562e-006, 1.193947e-005, 
29699265, 1.981913e-005, 4.047679e-005, 
30299250, -2.038975e-005, 2.151370e-007, 
30899235, 3.329261e-005, 1.535288e-005, 
31499220, 2.160052e-005, -1.550051e-005, 
32099205, 5.233941e-006, 9.084881e-006, 
32699190, 1.141560e-005, 3.551668e-005, 
33299175, -1.402865e-005, 1.438579e-005, 
33899160, 1.215753e-005, 4.059036e-005, 
34499145, 3.691681e-006, 2.241134e-005, 
35099130, -7.464354e-006, 3.710589e-006, 
35699115, -1.265071e-005, 1.381189e-005, 
36299100, -3.552565e-005, 3.216991e-005, 
36899085, 1.061274e-005, 2.492069e-005, 
37499070, 1.702890e-005, 2.877489e-005, 
38099055, 2.459781e-005, 1.820996e-006, 
38699040, 3.523142e-005, 1.961875e-005, 
39299025, -2.430487e-005, 1.640799e-005, 
39899010, -3.143707e-005, 2.734531e-005, 
40498995, 5.796657e-006, 3.223629e-005, 
41098980, -3.952013e-006, 1.950270e-005, 
41698965, -4.518968e-006, 5.940456e-005, 
42298950, -1.548851e-005, 2.510998e-005, 
42898935, 5.072755e-006, 5.087533e-005, 
43498920, -9.034517e-006, 3.865972e-005, 
44098905, 2.354456e-005, 1.868005e-005, 
44698890, -8.699045e-006, 2.491612e-005, 
45298875, 1.819198e-005, 1.863740e-005, 
45898860, 4.316280e-006, -3.775985e-006, 
46498845, -2.070802e-005, 4.172342e-005, 
47098830, 1.557982e-005, 3.724920e-005, 
47698815, 5.626936e-006, 8.054153e-006, 
48298800, -3.359332e-005, -1.524815e-005, 
48898785, -1.271571e-005, 1.348980e-005, 
49498770, -4.128338e-006, 2.399101e-005, 
50098755, -1.913331e-005, 5.203356e-005, 
50698740, -3.024890e-005, 2.443119e-005, 
51298725, -3.344747e-006, -3.430887e-006, 
51898710, -8.679169e-006, -6.848416e-006, 
52498695, 5.218307e-006, 1.331177e-005, 
