"S11 POLAR"
"Frequency (Hz)","U","U",
300000, 9.821849e-001, 1.709183e-002, 
899985, 9.746252e-001, 2.572352e-002, 
1499970, 9.935648e-001, 7.172976e-003, 
2099955, 9.885779e-001, 9.400317e-003, 
2699940, 9.969254e-001, 1.259434e-003, 
3299925, 9.962359e-001, 9.505464e-004, 
3899910, 9.955299e-001, 1.765535e-003, 
4499895, 9.963040e-001, -1.311175e-004, 
5099880, 9.965242e-001, -6.748903e-005, 
5699865, 9.963189e-001, -1.305700e-003, 
6299850, 9.965097e-001, -3.042825e-003, 
6899835, 9.965180e-001, -2.790922e-003, 
7499820, 9.966485e-001, -2.918832e-003, 
8099805, 9.965296e-001, -1.978156e-003, 
8699790, 9.965336e-001, -2.891923e-003, 
9299775, 9.963987e-001, -3.703227e-003, 
9899760, 9.961699e-001, -5.299679e-003, 
10499745, 9.984142e-001, -6.586226e-003, 
11099730, 9.989952e-001, -6.599969e-003, 
11699715, 9.990979e-001, -6.972814e-003, 
12299700, 9.991922e-001, -7.004930e-003, 
12899685, 9.990775e-001, -7.299196e-003, 
13499670, 9.987099e-001, -8.336714e-003, 
14099655, 9.977112e-001, -9.052031e-003, 
14699640, 9.980165e-001, -9.126900e-003, 
15299625, 9.986187e-001, -9.240523e-003, 
15899610, 9.987366e-001, -9.601073e-003, 
16499595, 9.990354e-001, -9.975998e-003, 
17099580, 9.993136e-001, -1.035335e-002, 
17699565, 9.989566e-001, -1.082556e-002, 
18299550, 9.982631e-001, -1.097884e-002, 
18899535, 9.983267e-001, -1.173367e-002, 
19499520, 9.987139e-001, -1.236749e-002, 
20099505, 9.990448e-001, -1.243675e-002, 
20699490, 9.989069e-001, -1.268132e-002, 
21299475, 9.986698e-001, -1.318926e-002, 
21899460, 9.991951e-001, -1.366059e-002, 
22499445, 9.989980e-001, -1.428824e-002, 
23099430, 9.983625e-001, -1.547145e-002, 
23699415, 9.986287e-001, -1.563652e-002, 
24299400, 9.990500e-001, -1.589709e-002, 
24899385, 9.985207e-001, -1.598583e-002, 
25499370, 9.985633e-001, -1.625302e-002, 
26099355, 9.988266e-001, -1.689434e-002, 
26699340, 9.989902e-001, -1.744131e-002, 
27299325, 9.991675e-001, -1.766171e-002, 
27899310, 9.993131e-001, -1.801534e-002, 
28499295, 9.997841e-001, -1.831840e-002, 
29099280, 1.000128e+000, -1.823110e-002, 
29699265, 9.994832e-001, -1.879388e-002, 
30299250, 9.988973e-001, -1.980343e-002, 
30899235, 9.985111e-001, -1.986015e-002, 
31499220, 9.992261e-001, -1.972566e-002, 
32099205, 9.998173e-001, -1.983123e-002, 
32699190, 9.985202e-001, -2.034690e-002, 
