"S12 POLAR"
"Frequency (Hz)","U","U",
300000, 2.246970e-005, -6.934821e-006, 
899985, -9.728522e-006, -4.465629e-005, 
1499970, 1.267638e-004, 3.604569e-005, 
2099955, -1.921311e-005, 8.693947e-006, 
2699940, -7.351348e-005, -9.024627e-005, 
3299925, -2.242002e-005, 2.776675e-005, 
3899910, 9.835393e-006, 2.391354e-005, 
4499895, -1.987839e-005, 2.982168e-005, 
5099880, -8.875321e-006, 4.024711e-006, 
5699865, -2.975722e-005, 1.612190e-005, 
6299850, -4.304439e-005, 3.725328e-006, 
6899835, -5.992221e-006, 1.399080e-005, 
7499820, 1.195542e-005, 3.758458e-005, 
8099805, -3.829907e-006, 2.053460e-005, 
8699790, -2.282321e-005, -2.446646e-005, 
9299775, -5.689705e-005, 1.427580e-005, 
9899760, 6.987754e-005, 2.376875e-005, 
10499745, -1.961305e-006, 3.206231e-005, 
11099730, 5.214041e-006, 3.773591e-005, 
11699715, 1.175986e-005, 2.256404e-005, 
12299700, 5.068339e-006, -1.850065e-005, 
12899685, 3.348300e-005, -3.226439e-005, 
13499670, 5.601741e-005, 6.048128e-005, 
14099655, -3.705619e-005, 9.172732e-005, 
14699640, 3.891984e-005, 3.138229e-005, 
15299625, 3.154938e-005, -1.687524e-005, 
15899610, 3.565918e-005, -5.147287e-005, 
16499595, -4.544764e-006, -6.425916e-005, 
17099580, 1.100253e-005, -2.693294e-005, 
17699565, -1.676895e-005, -8.701877e-006, 
18299550, -4.138040e-005, -3.320959e-006, 
18899535, 1.116058e-005, 4.468607e-005, 
19499520, 8.719655e-007, -8.976581e-006, 
20099505, 6.903802e-005, -1.680904e-006, 
20699490, 4.582320e-005, 9.977781e-006, 
21299475, -7.287121e-006, -2.087915e-005, 
21899460, -5.071590e-005, -3.384489e-006, 
22499445, -3.663140e-005, 6.372546e-006, 
23099430, 1.099722e-005, -3.023497e-005, 
23699415, 4.435024e-005, 4.873950e-005, 
24299400, 6.084269e-005, 6.205821e-005, 
24899385, 1.383948e-005, 9.727184e-006, 
25499370, 5.358235e-005, -8.251851e-005, 
26099355, -1.607341e-005, -8.948418e-005, 
26699340, -7.249122e-005, 1.331802e-005, 
27299325, -1.242717e-005, 2.086483e-005, 
27899310, -1.709767e-005, 6.839725e-005, 
28499295, -1.394128e-005, 1.715690e-005, 
29099280, -8.813221e-006, -9.964760e-006, 
29699265, 7.178106e-005, 7.107602e-005, 
30299250, 1.825459e-005, -1.688689e-005, 
30899235, 8.578581e-007, 7.956423e-005, 
31499220, -3.723411e-005, -1.011770e-005, 
32099205, 3.367036e-005, -1.803199e-006, 
32699190, -1.521721e-005, -2.542099e-006, 
33299175, -7.938595e-006, -1.764885e-005, 
33899160, -3.814707e-005, 4.315952e-006, 
34499145, 4.350764e-005, 3.038780e-005, 
35099130, -3.359438e-005, 5.659829e-005, 
35699115, -3.532360e-005, 2.102781e-005, 
36299100, -1.109995e-006, 2.185241e-005, 
36899085, 7.960673e-005, 3.349972e-005, 
37499070, 3.401682e-005, -2.562681e-005, 
38099055, 5.008906e-005, -1.346551e-005, 
38699040, 5.834627e-006, -2.257752e-005, 
39299025, 1.189602e-006, -2.958827e-005, 
39899010, 9.653919e-006, -9.301159e-006, 
40498995, 3.541806e-005, 2.862120e-005, 
41098980, -2.118217e-005, -3.705416e-005, 
41698965, 4.069959e-006, 6.952586e-005, 
42298950, -4.080556e-005, -1.538934e-005, 
42898935, 1.049744e-005, 9.016613e-005, 
43498920, 5.593801e-005, -4.317820e-005, 
44098905, -4.237417e-005, -2.160492e-005, 
44698890, 1.181379e-005, 3.414358e-005, 
45298875, 8.220585e-005, -5.650825e-005, 
45898860, 5.617274e-005, 1.061010e-005, 
46498845, -4.646406e-005, -1.152624e-005, 
47098830, -5.743264e-006, -2.144183e-005, 
47698815, -5.129449e-005, 3.330423e-005, 
48298800, 2.331305e-005, -1.340125e-006, 
48898785, 4.457655e-006, -2.955250e-005, 
49498770, 8.853311e-006, -3.240173e-005, 
50098755, -9.649239e-005, -3.115619e-005, 
50698740, -8.056095e-005, -1.116885e-004, 
51298725, 3.499668e-005, 8.219832e-005, 
51898710, 1.660539e-005, 6.406844e-005, 
52498695, 4.218743e-006, -6.575722e-005, 
53098680, -6.756702e-005, 7.389468e-005, 
53698665, 3.640597e-005, 2.110660e-005, 
54298650, -1.228432e-004, -2.899320e-006, 
54898635, -4.053154e-005, 1.260743e-005, 
55498620, -8.015202e-006, -1.401060e-005, 
56098605, 5.574420e-005, -3.468243e-005, 
56698590, 3.957958e-005, 2.131282e-005, 
57298575, -1.653826e-005, 1.032483e-004, 
57898560, 6.618720e-005, -1.087119e-004, 
58498545, -4.559672e-005, -5.746285e-005, 
59098530, -1.639105e-006, 8.190181e-006, 
59698515, 1.560472e-005, 5.439924e-005, 
60298500, -8.207275e-005, -1.634414e-005, 
60898485, -4.121479e-005, 1.745367e-005, 
61498470, -6.027011e-005, -1.019938e-004, 
62098455, -4.826814e-005, -2.985895e-005, 
62698440, -1.255735e-005, -8.888753e-005, 
63298425, -5.136865e-005, 3.968752e-005, 
63898410, 4.499511e-005, 5.562986e-006, 
64498395, -5.930446e-005, -6.995368e-005, 
65098380, 1.487725e-005, 2.272087e-005, 
65698365, -2.026868e-005, 8.432774e-005, 
66298350, 4.819183e-005, 8.551154e-005, 
66898335, -3.826443e-005, -9.921348e-006, 
67498320, 3.192105e-005, 8.277276e-005, 
68098305, 5.324316e-005, -7.892743e-005, 
68698290, 5.145975e-006, 4.228718e-005, 
69298275, -1.063496e-005, -7.990265e-006, 
69898260, 8.340949e-005, -1.620759e-005, 
70498245, 1.721021e-005, -1.963241e-005, 
71098230, -2.502243e-006, 5.544081e-005, 
71698215, 1.145371e-005, -5.163605e-005, 
72298200, 2.945034e-005, -4.280193e-006, 
72898185, -1.044339e-005, -2.655237e-005, 
73498170, 5.978102e-005, -3.079916e-006, 
74098155, -9.990981e-005, -3.698373e-005, 
74698140, 1.670651e-005, 4.799510e-008, 
75298125, -2.347666e-005, -7.394438e-005, 
75898110, -5.020294e-007, -1.213089e-005, 
76498095, -3.671555e-005, 4.883261e-005, 
77098080, -2.787892e-005, 2.573467e-005, 
77698065, 8.964053e-006, 1.369232e-005, 
78298050, 1.687912e-005, 3.131443e-005, 
78898035, -2.394515e-005, -1.249980e-005, 
79498020, 3.604813e-005, -3.114215e-005, 
80098005, 4.840364e-005, 8.591527e-005, 
80697990, 1.028551e-005, -1.426060e-005, 
81297975, 2.944177e-005, -4.430967e-005, 
81897960, -2.438936e-005, -4.309263e-005, 
82497945, 5.361481e-006, -9.431212e-005, 
83097930, -4.991611e-005, 6.237071e-005, 
83697915, 7.722425e-005, 7.489744e-006, 
84297900, 4.324698e-005, 4.710160e-006, 
84897885, 2.497238e-005, -1.191494e-005, 
85497870, 3.184257e-005, -1.001819e-005, 
86097855, 2.150645e-005, 5.201915e-005, 
86697840, -6.343610e-005, -1.919067e-005, 
87297825, 2.685493e-005, -3.541055e-005, 
87897810, 2.560912e-005, -4.318273e-005, 
88497795, -1.467166e-005, 9.118888e-005, 
89097780, 1.101893e-005, 3.352561e-005, 
89697765, 6.403154e-005, -2.111668e-005, 
90297750, 5.661426e-005, 5.958806e-006, 
90897735, 3.863563e-005, -3.999662e-005, 
91497720, 4.978511e-005, -1.627397e-005, 
92097705, -1.505176e-005, -3.746258e-006, 
92697690, 2.705489e-005, 4.065558e-005, 
93297675, 6.613428e-005, -2.039999e-005, 
93897660, -4.515110e-005, 4.798475e-005, 
94497645, 3.427429e-005, 1.658649e-005, 
95097630, 2.513564e-005, 2.244075e-005, 
95697615, 2.570067e-005, 5.760647e-005, 
