"S22 POLAR"
"Frequency (Hz)","U","U",
300000, 9.963942e-001, 2.314520e-003, 
899985, 9.357619e-001, 8.490957e-004, 
1499970, 1.001837e+000, 3.024621e-003, 
2099955, 9.995148e-001, 6.217422e-004, 
2699940, 9.943717e-001, -3.297899e-003, 
3299925, 9.992718e-001, -2.972184e-003, 
3899910, 9.989643e-001, -3.786395e-003, 
4499895, 9.988587e-001, -4.411021e-003, 
5099880, 9.994273e-001, -3.898393e-003, 
5699865, 1.000755e+000, -4.490768e-003, 
6299850, 1.000045e+000, -5.103684e-003, 
6899835, 1.000368e+000, -6.033298e-003, 
7499820, 9.995874e-001, -6.865153e-003, 
8099805, 9.987921e-001, -8.395066e-003, 
8699790, 1.000514e+000, -9.703085e-003, 
9299775, 1.000749e+000, -9.565440e-003, 
9899760, 9.976759e-001, -1.448390e-002, 
10499745, 9.990219e-001, -1.153388e-002, 
11099730, 1.001204e+000, -1.136574e-002, 
11699715, 1.001352e+000, -1.245902e-002, 
12299700, 1.000631e+000, -1.285956e-002, 
12899685, 9.988430e-001, -1.555072e-002, 
13499670, 9.995638e-001, -1.415074e-002, 
14099655, 9.998796e-001, -1.388795e-002, 
14699640, 1.000170e+000, -1.504305e-002, 
15299625, 1.000526e+000, -1.615492e-002, 
15899610, 9.999211e-001, -1.639856e-002, 
16499595, 1.000175e+000, -1.652591e-002, 
17099580, 9.997224e-001, -1.773370e-002, 
17699565, 9.994203e-001, -1.854232e-002, 
18299550, 9.988448e-001, -1.839594e-002, 
18899535, 9.980053e-001, -1.952971e-002, 
19499520, 9.979550e-001, -2.016018e-002, 
20099505, 9.982615e-001, -2.031305e-002, 
20699490, 9.989312e-001, -2.033546e-002, 
21299475, 9.992655e-001, -2.068391e-002, 
21899460, 9.990925e-001, -2.257301e-002, 
22499445, 9.995238e-001, -2.393803e-002, 
23099430, 1.000391e+000, -2.418325e-002, 
23699415, 1.000622e+000, -2.410194e-002, 
24299400, 1.000759e+000, -2.473449e-002, 
24899385, 1.000202e+000, -2.715332e-002, 
25499370, 9.997308e-001, -2.826200e-002, 
26099355, 9.994137e-001, -2.625363e-002, 
26699340, 9.997838e-001, -2.641151e-002, 
27299325, 9.996296e-001, -2.790475e-002, 
27899310, 9.986501e-001, -2.731930e-002, 
28499295, 9.985328e-001, -2.864077e-002, 
29099280, 9.997405e-001, -2.957846e-002, 
29699265, 9.998374e-001, -3.086795e-002, 
30299250, 1.000292e+000, -3.307826e-002, 
30899235, 9.996509e-001, -3.147803e-002, 
31499220, 1.000280e+000, -3.162982e-002, 
32099205, 1.000640e+000, -3.199902e-002, 
32699190, 9.998662e-001, -3.265168e-002, 
33299175, 9.990159e-001, -3.447061e-002, 
33899160, 9.986109e-001, -3.422193e-002, 
34499145, 9.980543e-001, -3.522094e-002, 
35099130, 9.975609e-001, -3.601399e-002, 
35699115, 9.981304e-001, -3.642390e-002, 
36299100, 9.985797e-001, -3.756067e-002, 
36899085, 9.973638e-001, -3.674760e-002, 
37499070, 9.982764e-001, -3.775841e-002, 
38099055, 9.994183e-001, -3.952427e-002, 
38699040, 9.988580e-001, -3.998269e-002, 
39299025, 9.979705e-001, -4.007687e-002, 
39899010, 9.988068e-001, -3.977545e-002, 
40498995, 9.975742e-001, -4.200297e-002, 
41098980, 9.951438e-001, -4.208951e-002, 
41698965, 9.945220e-001, -4.193060e-002, 
42298950, 9.950595e-001, -4.285659e-002, 
42898935, 9.979573e-001, -4.158582e-002, 
43498920, 1.000434e+000, -4.190842e-002, 
44098905, 1.001773e+000, -4.472507e-002, 
44698890, 1.001757e+000, -4.622015e-002, 
45298875, 1.001536e+000, -4.614275e-002, 
45898860, 1.001074e+000, -4.720571e-002, 
46498845, 1.000096e+000, -4.749727e-002, 
47098830, 9.994559e-001, -4.730634e-002, 
47698815, 9.978228e-001, -4.887265e-002, 
48298800, 9.959798e-001, -5.057707e-002, 
48898785, 9.972193e-001, -5.129865e-002, 
49498770, 9.987159e-001, -5.242501e-002, 
50098755, 9.991315e-001, -5.452665e-002, 
50698740, 9.988112e-001, -5.505115e-002, 
51298725, 9.987873e-001, -5.424142e-002, 
51898710, 1.001913e+000, -5.480023e-002, 
52498695, 1.001524e+000, -5.492994e-002, 
53098680, 9.994941e-001, -5.735505e-002, 
53698665, 9.986377e-001, -5.934373e-002, 
54298650, 9.984759e-001, -5.760590e-002, 
54898635, 9.989950e-001, -5.600603e-002, 
55498620, 9.990852e-001, -5.574931e-002, 
56098605, 9.989326e-001, -5.747542e-002, 
56698590, 9.985711e-001, -5.885041e-002, 
57298575, 9.990106e-001, -5.931268e-002, 
57898560, 9.995487e-001, -5.927978e-002, 
58498545, 9.990615e-001, -5.981430e-002, 
59098530, 9.981263e-001, -6.106855e-002, 
59698515, 9.957179e-001, -6.296048e-002, 
60298500, 9.943334e-001, -6.302331e-002, 
60898485, 9.971405e-001, -6.505746e-002, 
61498470, 9.985065e-001, -6.642283e-002, 
62098455, 9.990971e-001, -6.591264e-002, 
62698440, 9.972599e-001, -6.683420e-002, 
63298425, 9.955856e-001, -6.837781e-002, 
63898410, 9.958551e-001, -6.389158e-002, 
64498395, 9.965732e-001, -6.284745e-002, 
65098380, 9.968598e-001, -6.613878e-002, 
65698365, 9.989260e-001, -6.746513e-002, 
66298350, 1.000194e+000, -6.800659e-002, 
66898335, 9.988480e-001, -6.760086e-002, 
67498320, 1.000436e+000, -6.960167e-002, 
68098305, 1.002941e+000, -7.161973e-002, 
68698290, 1.000672e+000, -6.912925e-002, 
69298275, 9.985583e-001, -6.791767e-002, 
69898260, 9.958768e-001, -7.089350e-002, 
70498245, 9.958056e-001, -7.350105e-002, 
71098230, 9.971508e-001, -7.463127e-002, 
71698215, 9.973982e-001, -7.436930e-002, 
72298200, 9.982506e-001, -7.476367e-002, 
72898185, 9.986668e-001, -7.468529e-002, 
73498170, 1.000123e+000, -7.578108e-002, 
74098155, 1.000162e+000, -7.624602e-002, 
74698140, 9.980462e-001, -7.566857e-002, 
75298125, 9.965633e-001, -7.602885e-002, 
75898110, 1.001315e+000, -7.588362e-002, 
76498095, 1.001718e+000, -7.795347e-002, 
77098080, 9.987703e-001, -7.757183e-002, 
77698065, 9.984325e-001, -7.841019e-002, 
78298050, 9.984847e-001, -8.160169e-002, 
78898035, 9.957244e-001, -8.221797e-002, 
79498020, 9.964015e-001, -8.247825e-002, 
80098005, 9.990284e-001, -8.236635e-002, 
80697990, 9.966118e-001, -8.391336e-002, 
81297975, 9.949023e-001, -8.560480e-002, 
81897960, 9.948057e-001, -8.509352e-002, 
82497945, 9.970089e-001, -8.623624e-002, 
83097930, 9.988109e-001, -8.633734e-002, 
83697915, 9.969029e-001, -8.740415e-002, 
84297900, 9.955593e-001, -8.973350e-002, 
84897885, 9.980420e-001, -8.983418e-002, 
85497870, 9.981101e-001, -8.946087e-002, 
86097855, 9.971141e-001, -9.016640e-002, 
86697840, 9.969446e-001, -8.961890e-002, 
87297825, 9.970951e-001, -8.802684e-002, 
87897810, 9.960541e-001, -9.051075e-002, 
88497795, 9.957701e-001, -9.131879e-002, 
89097780, 9.973881e-001, -9.269445e-002, 
89697765, 9.968408e-001, -9.379158e-002, 
90297750, 9.945555e-001, -9.355256e-002, 
90897735, 9.939812e-001, -9.252191e-002, 
91497720, 9.935502e-001, -9.169941e-002, 
92097705, 9.936234e-001, -9.428369e-002, 
92697690, 9.939221e-001, -9.549807e-002, 
93297675, 9.935177e-001, -9.432153e-002, 
93897660, 9.937109e-001, -9.641114e-002, 
94497645, 9.949769e-001, -9.750072e-002, 
95097630, 9.963577e-001, -9.861422e-002, 
95697615, 9.964222e-001, -1.011747e-001, 
96297600, 9.955661e-001, -1.009305e-001, 
96897585, 9.948052e-001, -1.015243e-001, 
97497570, 9.939528e-001, -9.994420e-002, 
98097555, 9.939038e-001, -9.777521e-002, 
98697540, 9.931459e-001, -9.903996e-002, 
99297525, 9.922214e-001, -1.019249e-001, 
99897510, 9.902159e-001, -1.025185e-001, 
100497495, 9.924111e-001, -1.031200e-001, 
101097480, 9.962565e-001, -1.044592e-001, 
101697465, 9.967501e-001, -1.060893e-001, 
102297450, 9.945439e-001, -1.077198e-001, 
102897435, 9.917403e-001, -1.094884e-001, 
103497420, 9.913183e-001, -1.100705e-001, 
104097405, 9.934075e-001, -1.074272e-001, 
104697390, 9.960395e-001, -1.088901e-001, 
105297375, 9.968225e-001, -1.121298e-001, 
105897360, 9.951224e-001, -1.106953e-001, 
106497345, 9.930925e-001, -1.092823e-001, 
107097330, 9.909207e-001, -1.088118e-001, 
107697315, 9.932685e-001, -1.107453e-001, 
108297300, 9.949187e-001, -1.141117e-001, 
108897285, 9.936388e-001, -1.111400e-001, 
109497270, 9.939239e-001, -1.107537e-001, 
110097255, 9.934742e-001, -1.133197e-001, 
110697240, 9.938846e-001, -1.149078e-001, 
111297225, 9.920650e-001, -1.167871e-001, 
111897210, 9.899253e-001, -1.173150e-001, 
112497195, 9.899687e-001, -1.174301e-001, 
113097180, 9.924077e-001, -1.153886e-001, 
113697165, 9.918162e-001, -1.141171e-001, 
114297150, 9.913360e-001, -1.143342e-001, 
114897135, 9.906904e-001, -1.155349e-001, 
115497120, 9.914617e-001, -1.170724e-001, 
116097105, 9.927245e-001, -1.184239e-001, 
116697090, 9.927077e-001, -1.196007e-001, 
117297075, 9.920141e-001, -1.212842e-001, 
117897060, 9.920278e-001, -1.223520e-001, 
118497045, 9.922244e-001, -1.233646e-001, 
119097030, 9.928102e-001, -1.234894e-001, 
119697015, 9.918562e-001, -1.231621e-001, 
120297000, 9.909896e-001, -1.231422e-001, 
120896985, 9.930530e-001, -1.247162e-001, 
121496970, 9.930241e-001, -1.260074e-001, 
122096955, 9.921356e-001, -1.279816e-001, 
122696940, 9.909952e-001, -1.285847e-001, 
123296925, 9.911072e-001, -1.284436e-001, 
123896910, 9.922783e-001, -1.294436e-001, 
124496895, 9.925517e-001, -1.295505e-001, 
125096880, 9.910895e-001, -1.307960e-001, 
125696865, 9.919186e-001, -1.320955e-001, 
126296850, 9.935738e-001, -1.326207e-001, 
126896835, 9.920201e-001, -1.315409e-001, 
127496820, 9.916078e-001, -1.319481e-001, 
128096805, 9.909669e-001, -1.337772e-001, 
128696790, 9.901960e-001, -1.333974e-001, 
129296775, 9.903238e-001, -1.314227e-001, 
129896760, 9.908463e-001, -1.351488e-001, 
130496745, 9.899157e-001, -1.361070e-001, 
131096730, 9.893811e-001, -1.361087e-001, 
131696715, 9.901074e-001, -1.383120e-001, 
132296700, 9.900051e-001, -1.399203e-001, 
132896685, 9.906502e-001, -1.404914e-001, 
133496670, 9.894911e-001, -1.402517e-001, 
134096655, 9.889575e-001, -1.401154e-001, 
134696640, 9.896457e-001, -1.403015e-001, 
135296625, 9.907649e-001, -1.405006e-001, 
135896610, 9.910542e-001, -1.416131e-001, 
136496595, 9.883294e-001, -1.423213e-001, 
137096580, 9.853768e-001, -1.460064e-001, 
137696565, 9.884773e-001, -1.457313e-001, 
138296550, 9.915211e-001, -1.432610e-001, 
138896535, 9.917008e-001, -1.447679e-001, 
139496520, 9.897179e-001, -1.449216e-001, 
140096505, 9.871588e-001, -1.437214e-001, 
140696490, 9.859193e-001, -1.463381e-001, 
141296475, 9.860836e-001, -1.489868e-001, 
141896460, 9.894029e-001, -1.456124e-001, 
142496445, 9.896330e-001, -1.443612e-001, 
143096430, 9.878154e-001, -1.484139e-001, 
143696415, 9.881268e-001, -1.485136e-001, 
144296400, 9.893115e-001, -1.470048e-001, 
144896385, 9.898010e-001, -1.499510e-001, 
145496370, 9.873589e-001, -1.505553e-001, 
146096355, 9.851623e-001, -1.502996e-001, 
146696340, 9.876743e-001, -1.495969e-001, 
147296325, 9.907838e-001, -1.484070e-001, 
147896310, 9.866054e-001, -1.482535e-001, 
148496295, 9.860715e-001, -1.497742e-001, 
149096280, 9.884992e-001, -1.517628e-001, 
149696265, 9.876193e-001, -1.519288e-001, 
150296250, 9.863008e-001, -1.528165e-001, 
150896235, 9.860653e-001, -1.537487e-001, 
151496220, 9.858023e-001, -1.548587e-001, 
152096205, 9.869533e-001, -1.550339e-001, 
152696190, 9.905335e-001, -1.551955e-001, 
153296175, 9.923968e-001, -1.573898e-001, 
153896160, 9.918098e-001, -1.577792e-001, 
154496145, 9.897361e-001, -1.580057e-001, 
155096130, 9.868732e-001, -1.580077e-001, 
155696115, 9.863511e-001, -1.565842e-001, 
156296100, 9.875306e-001, -1.565060e-001, 
156896085, 9.876949e-001, -1.568986e-001, 
157496070, 9.862848e-001, -1.593163e-001, 
158096055, 9.844303e-001, -1.610875e-001, 
158696040, 9.864263e-001, -1.615638e-001, 
159296025, 9.884979e-001, -1.632916e-001, 
159896010, 9.858389e-001, -1.631172e-001, 
160495995, 9.853888e-001, -1.646068e-001, 
161095980, 9.862463e-001, -1.650144e-001, 
161695965, 9.855888e-001, -1.652021e-001, 
162295950, 9.850683e-001, -1.668327e-001, 
162895935, 9.847505e-001, -1.654980e-001, 
163495920, 9.852372e-001, -1.664443e-001, 
164095905, 9.862065e-001, -1.691813e-001, 
164695890, 9.866831e-001, -1.700564e-001, 
165295875, 9.866329e-001, -1.704303e-001, 
165895860, 9.833768e-001, -1.701926e-001, 
166495845, 9.831249e-001, -1.706908e-001, 
167095830, 9.832651e-001, -1.732445e-001, 
167695815, 9.842785e-001, -1.730445e-001, 
168295800, 9.854541e-001, -1.706473e-001, 
168895785, 9.842427e-001, -1.737303e-001, 
